;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_description/replace_wall_all_picker_tool;This tool allows you to select Wall Type to replace all walls.;;Этот инструмент позволяет выбрать тип стен для замены всех стен.;;;;;这个工具允许玩家选择墙壁的类型.;このツールを使用すると、このツールを使用すると、壁のタイプを選択できます;
;;;;;;;;;;
gui/hud/building_name/replace_wall_all_replacer_tool;Replace All Selected Walls with Picked Wall Type;;Заменить все выделенные стены на выбранный тип стены;;;;;壁タイプ交換ツール;;
gui/hud/building_description/replace_wall_all_replacer_tool;This tool allows you to replace all selected walls with Picked Wall Type.;;Этот инструмент позволяет заменить все выделенные стены на выбранный тип стены.;;;;;这个工具允许玩家使用指定的墙壁类型来替换所有的墙.;このツールを使用すると、すべての壁を指定されたタイプの壁に置き換えることができます。;
;;;;;;;;;;
gui/hud/messages/replace_wall_tool/wall_not_selected;Use Wall Type Picker Tool.;;Используйте инструмент выбора типа стен.;;;;;使用墙壁类型选择工具.;壁タイプ選択ツールを使用する;
;;;;;;;;;;
gui/hud/messages/replace_wall_tool/wall_1_not_selected;Use Wall Type 1\nPicker Tool.;;Используйте инструмент\nвыбора типа стен 1.;;;;;;壁タイプピッカーツール 1;
gui/hud/messages/replace_wall_tool/wall_2_not_selected;Use Wall Type 2\nPicker Tool.;;Используйте инструмент\nвыбора типа стен 2.;;;;;;壁タイプピッカーツール 2;
;;;;;;;;;;
gui/hud/building_name/replace_wall_picker_1_tool;Wall Type 1 Picker Tool;;Инструмент выбора типа стен 1;;;;;墙壁类型选择工具-1;壁タイプ選択ツール 1;
gui/hud/building_description/replace_wall_picker_1_tool;This tool allows you to select Wall Type 1.;;Этот инструмент позволяет выбрать тип стен 1.;;;;;这个工具用来选择墙壁类型1.;このツールは壁のタイプ 1 を選択するために使用されます;
;;;;;;;;;;
gui/hud/building_name/replace_wall_picker_2_tool;Wall Type 2 Picker Tool;;Инструмент выбора типа стен 2;;;;;墙壁类型选择工具-2;;
gui/hud/building_description/replace_wall_picker_2_tool;This tool allows you to select Wall Type 2.;;Этот инструмент позволяет выбрать тип стен 2.;;;;;这个工具用来选择墙壁类型2.;このツールは壁のタイプ 2 を選択するために使用されます;
;;;;;;;;;;
gui/hud/building_name/replace_wall_replacer_from_1_to_2_tool;Replace Selected Walls Type 1 with Type 2;;Заменить все выделенные стены типа 1 на тип 2;;;;;使用类型2的墙壁来替换类型1的墙壁;タイプ 1 の壁をタイプ 2 の壁に置き換えます;
gui/hud/building_description/replace_wall_replacer_from_1_to_2_tool;This tool allows you to replace all selected Walls Type 1 with Type 2.;;Этот инструмент позволяет заменить все выделенные стены типа 1 на тип 2.;;;;;这个工具允许玩家使用类型2的墙壁来替换类型1的墙壁.;このツールを使用すると、タイプ 1 の壁をタイプ 2 の壁に置き換えることができます。;
;;;;;;;;;;
gui/hud/building_name/replace_wall_replacer_from_2_to_1_tool;Replace Selected Walls Type 2 with Type 1;;Заменить все выделенные стены типа 2 на тип 1;;;;;使用类型1的墙壁来替换类型2的墙壁;選択したタイプ 2 の壁をタイプ 1 の壁に置き換える;
gui/hud/building_description/replace_wall_replacer_from_2_to_1_tool;This tool allows you to replace all selected Walls Type 2 with Type 1.;;Этот инструмент позволяет заменить все выделенные стены типа 2 на тип 1.;;;;;这个工具允许玩家使用类型1的墙壁来替换类型2的墙壁.;タイプ 2 の壁をタイプ 1 の壁に置き換えます;
;;;;;;;;;;
gui/hud/messages/replace_wall_tool/last_building;Select Previous;;Выбрать предыдущее;;;;;;前を選択;
;;;;;;;;;;
gui/hud/messages/replace_wall_tool/current_building;Current:;;Текущее:;;;;;;現在;
