units/ground/nerilian_boss_energy Nerilian_Boss_Energy
units/ground/nerilian_boss_fire Nerilian_Boss_Fire
units/ground/nerilian_boss_random Nerilian_Boss_Random
units/ground/nurglax Nurglax 
units/ground/nurglax_alpha Nurglax_Alpha
units/ground/nurglax_ultra Nurglax_Ultra
units/ground/nurglax_boss_acid Nurglax_Boss_Acid
units/ground/nurglax_boss_cryo Nurglax_Boss_Cryo
units/ground/nurglax_boss_energy Nurglax_Boss_Energy
units/ground/nurglax_boss_fire Nurglax_Boss_Fire
units/ground/nurglax_boss_omega Nurglax_Boss_Omega
units/ground/nurglax_boss_random Nurglax_Boss_Random
units/ground/octabit Octabit 
units/ground/octabit_alpha Octabit_Alpha
units/ground/octabit_omega Octabit_Omega
units/ground/octabit_ultra Octabit_Ultra
units/ground/phirian Phirian 
units/ground/phirian_alpha Phirian_Alpha
units/ground/phirian_ultra Phirian_Ultra
units/ground/shegret Shegret
units/ground/shegret_alpha Shegret_Alpha
units/ground/shegret_ultra Shegret_Ultra
units/ground/stregaros Stregaros 
units/ground/stregaros_alpha Stregaros_Alpha
units/ground/stregaros_ultra Stregaros_Ultra
units/ground/stregaros_crystal Stregaros_Crystal
units/ground/stregaros_crystal_alpha Stregaros_Crystal_Alpha
units/ground/stregaros_crystal_ultra Stregaros_Crystal_Ultra
units/ground/stregaros_boss_acid Stregaros_Boss_Acid
units/ground/stregaros_boss_cryo Stregaros_Boss_Cryo
units/ground/stregaros_boss_energy Stregaros_Boss_Energy
units/ground/stregaros_boss_fire Stregaros_Boss_Fire
units/ground/stregaros_boss_random Stregaros_Boss_Random
units/ground/stonkr Stonkr
units/ground/wingmite Wingmite
units/ground/wingmite_alpha Wingmite_Alpha
units/ground/wingmite_ultra Wingmite_Ultra
units/ground/vathamite_acidus Vathamite_Acidus
units/ground/vathamite_acidus_alpha Vathamite_Acidus_Alpha
units/ground/vathamite_acidus_ultra Vathamite_Acidus_Ultra
units/ground/viremoth Viremoth
units/ground/viremoth_alpha Viremoth_Alpha
units/ground/viremoth_ultra Viremoth_Ultra
units/ground/zorant Zorant
units/ground/zorant_alpha Zorant_Alpha
units/ground/zorant_hyper Zorant_Hyper
units/ground/zorant_ultra Zorant_Ultra
units/ground/zorant_omega Zorant_Omega
units/ground/zorant_omicron Zorant_Omicron
units/ground/zorant_super Zorant_Super
