;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
entities/items/mine_trail_mods/name/proximity_mine_cryogenic;Cryogenic Mine;Mina Kriogeniczna;Криогенная мина;Mine cryogénique;Kryogene Mine;Mina criogénica;Mina Criogênica;冷冻地雷;フリーズマイン;극저온 지뢰
;;;;;;;;;;
entities/items/mine_trail_mods/name/proximity_mine_gravity;Gravity Mine;Mina Grawitacyjna;Гравитационная мина;Mine gravitationnelle;Gravitationsmine;Mina de gravedad;Mina Gravitacional;重力地雷;グラビティマイン;중력 지뢰
;;;;;;;;;;
entities/items/mine_trail_mods/name/proximity_mine_nuclear;Nuclear Mine;Mina Atomowa;Атомная мина;Mine nucléaire;Atomare Mine;Mina nuclear;Mina Nuclear;核地雷;ニュークマイン;핵 지뢰
;;;;;;;;;;
gui/menu/research/category_mine_trail_mods;Mine Trail;;Связка гранат;;;;;;;
;;;;;;;;;;
gui/menu/research/name/mine_trail_standard_item;Mine Trail;;Связка гранат;;;;;;;
gui/menu/research/description/mine_trail_standard_item;This research allows Riftbreaker to customize and use Mine Trail skills.;;Это исследование позволяет рифтбрейкеру настраивать и использовать скиллы Связок гранат.;;;;;;;
;;;;;;;;;;
gui/menu/research/name/mine_trail_mods_proximity_mine_item;Small Mine;Mała Mina;Малая мина;Petite mine;Kleine Mine;Mina pequeña;Mina Pequena;小型地雷 ;スモールマイン;소형 지뢰
gui/menu/research/description/mine_trail_mods_proximity_mine_item;The most basic, explosive weapon. It’s single use and deals explosive damage in its blast radius. Explodes on hitting the target or after the fuse runs out.;Najbardziej podstawowa forma materiałów wybuchowych dostępna dla Riftbreakera. Granaty są jednorazowego użytku. Po użyciu zadają one obrażenia obszarowe w promieniu kilku metrów. Eksplozja następuje po kontakcie z celem, bądź po wypaleniu się lontu.;Самая простая одноразовая взрывчатка. Она наносит взрывной урон в радиусе поражения. Взрывается при попадании в цель или через некоторое время после использования.;La plus basique des armes explosives. Elle est à usage unique et inflige des dégâts dans son rayon d'action. Elle explose lorsqu'elle touche la cible ou lorsque sa mèche est consumée.;Die einfachste Explosivwaffe. Sie kann einmalig verwendet werden und verursacht Explosivschaden in ihrem Radius. Sie explodiert beim Auftreffen auf das Ziel oder nach dem Abbrennen der Lunte.;El arma explosiva más básica. Es de un solo uso e inflige daño explosivo en su radio de alcance. Explota al impactar contra el objetivo o cuando se consume la mecha.;A arma explosiva mais básica. É de uso único e causa dano explosivo em sua área de impacto. Explode ao acertar o alvo ou quando seu fusível queima.;最基础的爆破型武器。一次性使用，在爆炸半径内造成爆炸伤害。在命中目标或是引线燃尽时爆炸。;最も標準的な爆破武器。使い切りで、爆発圏内に爆破ダメージを与える。ターゲットに当たるか、導火線が燃え尽きると起爆する。;가장 기본적인 폭발성 무기입니다. 일회용이며 광역 폭발 피해를 입힙니다. 목표물에 닿거나 일정 시간이 지나면 폭발합니다.
;;;;;;;;;;
gui/menu/research/name/mine_trail_mods_proximity_mine_cryogenic_standard_item;Cryogenic Mine;Mina Kriogeniczna;Криогенная мина;Mine cryogénique;Kryogene Mine;Mina criogénica;Mina Criogênica;冷冻地雷;フリーズマイン;극저온 지뢰
gui/menu/research/description/mine_trail_mods_proximity_mine_cryogenic_standard_item;This special type of grenade is packed with a mixture of highly corrosive substances. The grenade divides into several, smaller explosive packages.;Ten specjalny typ granatu jest wypełniony mieszaniną silnie żrących substancji. Granat dzieli się na kilka mniejszych ładunków wybuchowych.;Поражающим элементом в этом виде гранат служит смесь высококоррозионных веществ. Граната разделяется на несколько меньших боевых частей.;Ces grenades spéciales contiennent un mélange de substances très corrosives. Elles se scindent en plusieurs petits engins explosifs.;Dieser spezielle Granatentypus steckt voller hochätzender Substanzen. Die Granate teilt sich in mehrere, kleinere Sprengstoffpakete auf.;Este tipo especial de granada está cargada con una mezcla de sustancias muy corrosivas. La granada se divide en varios paquetes explosivos más pequeños.;Um tipo de granada especial, carregada com um composto altamente corrosivo. A granada se divide em diversos pacotes explosivos menores.;这种特殊类型的手榴弹内装有高度腐蚀性物质的混合物。手榴弹会分成几个更小的爆炸包。;この特殊グレネードには腐食性の高い物質の混合物が詰まっている。使用の際、このグレネードは複数のより小さい散弾に分裂する。;특별한 수류탄으로 부식성이 매우 높은 물질로 혼합되어 있습니다. 수류탄은 여러 개의 작은 폭발물로 나누어집니다.
;;;;;;;;;;
gui/menu/research/name/mine_trail_mods_proximity_mine_gravity_standard_item;Gravity Mine;Mina Grawitacyjna;Гравитационная мина;Mine gravitationnelle;Gravitationsmine;Mina de gravedad;Mina Gravitacional;重力地雷;グラビティマイン;중력 지뢰
gui/menu/research/description/mine_trail_mods_proximity_mine_gravity_standard_item;This grenade explodes when the fuse runs out and creates a miniature black hole. The gravity ripps small enemies and objects to shreds while sucking them in. It dissapears after a short while but is very useful for crowd control.;Ten granat wybucha po określonym czasie i tworzy miniaturową czarną dziurę. Grawitacja wciąga i rozrywa na strzępy wszystkich małych wrogów i obiekty. Czarna dziura znika po krótkiej chwili ale jest przydatna do kontrolowania tłumów na polu bitwy.;При взрыве создает миниатюрную черную дыру. Гравитация разрывает объекты и врагов небольших размеров на куски. Быстро исчезает, но эффективна против толпы врагов.;Cette grenade explose lorsque sa mèche se consume et crée un trou noir miniature. La gravité déchire les petits ennemis et les objets tout en les aspirant. Le trou noir disparaît après un court instant, mais il est très utile pour le contrôle des foules.;Wenn diese Granate explodiert, erzeugt sie ein schwarzes Loch im Miniaturformat. Seine Anziehungskraft reißt kleine Feinde und Objekte in Stücke und saugt sie ein. Es verschwindet nach kurzer Zeit wieder, ist aber sehr nützlich, um mehrere Gegner unter Kontrolle zu halten.;Cuando el fusible se termina, la granada estalla y crea un agujero negro en miniatura. La gravedad absorbe y tritura a los enemigos pequeños y a algunos objetos. Desaparece al cabo de un rato, pero es muy útil para el control de masas.;Essa granada explode quando seu fusível queima, criando um miniburaco negro. A gravidade rasga os inimigos e objetos menores em pedaços ao sugá-los. Ele desaparece após um curto período de tempo, mas é muito útil para controle de multidões.;这种手榴弹在等待引信燃尽后会先产生爆炸，再产生一个微型的黑洞。重力将小的敌人和物体撕成碎片，同时将它们吸进去。它持续时间很短，但对需要群体控制时非常有用。;この手榴弾は導火線が燃え尽きると爆発し、小規模なブラックホールを発生させる。これに吸い込まれる小さな敵やオブジェクトは粉々になる。ブラックホールは少しすると消えてしまうが、集団を相手にするには非常に効果的である。;도화선이 끝나면 폭발하며 소형 블랙홀을 생성합니다. 작은 적과 물체는 중력에 빨려 들어가며 잘게 부서집니다. 짧은 시간 내에 사라지지만 군중 제어에 효과적입니다.
;;;;;;;;;;
gui/menu/research/name/mine_trail_mods_proximity_mine_nuclear_standard_item;Nuclear Mine;Mina Atomowa;Атомная мина;Mine nucléaire;Atomare Mine;Mina nuclear;Mina Nuclear;核地雷;ニュークマイン;핵 지뢰
gui/menu/research/description/mine_trail_mods_proximity_mine_nuclear_standard_item;This type of grenade causes a small explosion accompanied by a sonic blast. It has a large area of effectiveness.;Ten typ granatu powoduje niewielki wybuch, któremu towarzyszy fala soniczna. Ma duży obszar skuteczności.;Этот тип гранаты производит небольшой взрыв, сопровождаемый мощной звуковой волной, покрывающей обширную площадь.;Ce type de grenade cause une petite explosion suivie d'une déflagration sonique avec une grande zone d'effet.;Dieser Granatentyp verursacht eine kleine Explosion, die mit einer Schalldruckwelle einhergeht. Er hat einen großen Wirkungsbereich.;Este tipo de granada causa una pequeña explosión junto con un estallido sónico. Tiene una gran área de efecto.;Este tipo de granada causa uma pequena explosão seguida de um estrondo sônico. Tem um grande efeito em área.;这种类型的手榴弹会引起小规模的爆炸，并伴有音爆。它有一个大的有效区域。;このタイプのグレネードの小規模爆発には音速衝撃波が伴い、広範な攻撃範囲を誇る。;해당 유형의 수류탄은 작은 음파 폭발을 일으킵니다. 넓은 지역에 효율성을 보입니다.
;;;;;;;;;;
