;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
monster_name/bomogan_magma;Magma Bomogan;;;;;;;;;
monster_description/bomogan_magma;Magma Bomogan is an unique variant of Bomogans whereby the sub-species apparently had co-evolved with Magma Arachnoids. Magma Bomogans are capable to launch special sacks containing molten rock. Worse still, upon Magma Bomogan's sack rupture multiple Morirots will emerge.;;;;;;;;;
monster_name/bomogan_omega;Bomogan Omega;;;;;;;;;
monster_description/bomogan_omega;A rare and highly dangerous variant of Ultra Bomogans, Omega Bomogans had somehow evolved self-regeneration and special bio-sacks that can temporarily shut down Riftbreaker equipment on contact.;;;;;;;;;
monster_name/baxmoth_drone_omega;Baxmoth Drone Omega;;;;;;;;;
monster_name/baxmoth_drone_zeta;Baxmoth Drone Zeta;;;;;;;;;
monster_name/baxmoth_boss_fire_omega;Baxmoth Boss Fire Omega;;;;;;;;;
monster_name/baxmoth_boss_omega;Baxmoth Boss Omega;;;;;;;;;
monster_name/baxmoth_boss_zeta;Baxmoth Boss Zeta;;;;;;;;;
monster_name/flurian_omega;Flurian Omega;;;;;;;;;
monster_description/flurian_omega;Flurian Omega is a rare and powerful variant of Flurian Ultras whereby the sub-species had apparently evolved self-regeneration. Omega Flurians are almost indistinguishable from Ultra Flurians except their pattern colourations and ability to shoot energy grenades that can disrupt Riftbreaker technologies.;;;;;;;;;
monster_name/flurian_omicron;Flurian Omicron;;;;;;;;;
monster_description/flurian_omicron;Flurian Omicron is an unique sub variant of Flurian Omega and no less deadly. The sub-species mysteriously lost its progenitor's ability to launch multiple energy grenades and instead able to launch special kinetic projectiles containing suicidal war forms. Extreme caution is advised.;;;;;;;;;
monster_name/flurian_boss_omega;Flurian Boss Omega;;;;;;;;;
monster_name/gnerot_boss_acid;Gnerot Boss Acid;;;;;;;;;
monster_name/gnerot_boss_cryo;Gnerot Boss Cryo;;;;;;;;;
monster_name/gnerot_boss_energy;Gnerot Boss Energy;;;;;;;;;
monster_name/stonkr;Stonkr;;;;;;;;;
monster_description/stonkr;Through some unknown mechanism, the neutral Stonger fauna had evolved into Stonkr variant and incorporated some evolutionary features of Octabits. While Stonkr do not divide upon death, the creature is nonetheless deadly and have perchance of selectively attacking Riftbreaker defense towers in a suicidal charge.;;;;;;;;;
monster_name/vathamite_acidus;Vathamite Acidus;;;;;;;;;
monster_description/vathamite_acidus;By evolution or some other unknown mechanism, Vathamite in the wild were observed to evolve into deadlier, self-replicating Acidus strain. These creatures are intensely attracted to Riftbreaker energy emissions and would literally explode in shower of concentrated acid when they get close enough.;;;;;;;;;
monster_name/vathamite_acidus_alpha;Vathamite Acidus Alpha;;;;;;;;;
monster_name/vathamite_acidus_ultra;Vathamite Acidus Ultra;;;;;;;;;
monster_name/zorant_hyper;Zorant Hyper;;;;;;;;;
monster_description/zorant_hyper;A rare variant of Ultra Zorants that can only be found in certain areas of Galatea 37 radioactive deserts, Hyper Zorants had somehow evolved a way to lob bio-energy sacks over short obstacles. While the reason behind this evolution is unclear, it is theorized that Zorants are adapting to Riftbreakers' incursions.;;;;;;;;;
monster_name/zorant_super;Zorant Super;;;;;;;;;
monster_description/zorant_super;One of most dangerous variants of Zorants would be Super Zorant; the desert creature had mysteriously grown a bio-energized ejector that is analogous to railgun technology employed by Riftbreakers. It is unknown on how such strain emerged, but one thing for certain Super Zorants necessitates extreme caution.;;;;;;;;;
monster_name/zorant_omega;Zorant Omega;;;;;;;;;
monster_description/zorant_omega;Through coincidence or convergent evolution, some Ultra Zorants were found to evolve into Omega strain that have self-regeneration. What makes them even more dangerous is their capability to shoot bio-projectiles that can interfere with Riftbreaker equipment.;;;;;;;;;
monster_name/octabit_omega;Octabit Omega;;;;;;;;;
monster_description/octabit_omega;A rarely seen strain of Octabits, Octabit Omega species are markedly faster and have limited self-regeneration. Worryingly, the strain had somehow evolved to be able to disrupt Riftbreaker equipment on suicide.;;;;;;;;;
resource_name/specimen_alien_tower_artillery_energy;Alien Energy Artillery Intel;;;;;;;;;
resource_name/specimen_alien_tower_plasma_energy;Alien Energy Plasma Tower Intel;;;;;;;;;
resource_name/specimen_alien_tower_artillery_kinetic;Alien Kinetic Artillery Intel;;;;;;;;;
resource_name/specimen_alien_tower_mortar_kinetic;Alien Kinetic Mortar Intel;;;;;;;;;
resource_name/specimen_arachnoid_magma;Specimen Arachnoid Magma;;;;;;;;;
resource_name/specimen_bradron_kinetic;Specimen Bradron Kinetic;;;;;;;;;
resource_name/specimen_bradron_tesla;Specimen Bradron Tesla;;;;;;;;;
resource_name/specimen_bomogan_magma;Specimen Bomogan Magma;;;;;;;;;
resource_name/specimen_bomogan_omega;Specimen Bomogan Omega;;;;;;;;;
resource_name/specimen_flurian_omega;Specimen Flurian Omega;;;;;;;;;
resource_name/specimen_flurian_omicron;Specimen Flurian Omicron;;;;;;;;;
resource_name/specimen_stonkr;Specimen Stonkr;;;;;;;;;
resource_name/specimen_octabit_omega;Specimen Octabit Omega;;;;;;;;;
resource_name/specimen_vathamite_acidus;Specimen Vathamite Acidus;;;;;;;;;
resource_name/specimen_vathamite_acidus_alpha;Specimen Vathamite Acidus Alpha;;;;;;;;;
resource_name/specimen_vathamite_acidus_ultra;Specimen Vathamite Acidus Ultra;;;;;;;;;
resource_name/specimen_zorant_hyper;Specimen Zorant Hyper;;;;;;;;;
resource_name/specimen_zorant_omega;Specimen Zorant Omega;;;;;;;;;
resource_name/specimen_zorant_super;Specimen Zorant Super;;;;;;;;;
gui/menu/planetary_scanner/base_info_buildings_resource_mod_1;EA Resource Buildings Type I;;;;;;;;;
gui/menu/planetary_scanner/base_info_buildings_resource_mod_2;EA Resource Buildings Type II;;;;;;;;;
gui/menu/planetary_scanner/base_info_buildings_resource_mod_3;EA Resource Buildings Type III;;;;;;;;;
gui/menu/planetary_scanner/base_info_buildings_defense_mod_1;EA Defense Buildings Type I;;;;;;;;;
gui/menu/planetary_scanner/base_info_buildings_defense_mod_2;EA Defense Buildings Type II;;;;;;;;;
gui/menu/planetary_scanner/base_info_buildings_defense_mod_3;EA Defense Buildings Type III;;;;;;;;;
gui/menu/planetary_scanner/base_info_buildings_defense_mod_4;EA Defense Buildings Type IV;;;;;;;;;
gui/menu/research/name/morphium_energy_lvl_4;Morphium Energy - Level 4;;;;;;;;;
gui/menu/research/name/supercooling_lvl_2;Supercooling - Level 2;;;;;;;;;
gui/menu/research/name/supercooling_lvl_3;Supercooling - Level 3;;;;;;;;;
gui/menu/research/description/supercooling_lvl_2;Redesigned condensate reaction matrices allow increased supercoolant generation from titanium.;;;;;;;;;
gui/menu/research/description/supercooling_lvl_3;Introduction of energy metamaterials and titano-ferdonite compounds further enhance supercoolant production.;;;;;;;;;
gui/hud/building_description/ionizer;Produces plasma from titanium.;;;;;;;;;
gui/menu/research/name/ionizer_lvl_2;Solid State Ionization - Level 2;;;;;;;;;
gui/menu/research/name/ionizer_lvl_3;Solid State Ionization - Level 3;;;;;;;;;
gui/menu/research/description/ionizer_lvl_2;Redesigned synchrotrons allow better ionization of titanium into plasma.;;;;;;;;;
gui/menu/research/description/ionizer_lvl_3;Introduction of higher power accelerators further boost titanium conversion into plasma.;;;;;;;;;
gui/menu/inventory/skill_name/gravity_shockwave;Gravity Shockwave;;;;;;;;;
gui/menu/inventory/skill_description/gravity_shockwave_standard;Overcharge built-in Mr. Riggs's Rift Teleporter to distort surrounding space, causing localized time warp and tremendous gravity damage.;;;;;;;;;
gui/menu/inventory/skill_description/gravity_shockwave_advanced;The Advanced Protocol have enhanced dilation duration and gravity damage thanks to addition of redundant power supplies.;;;;;;;;;
gui/menu/inventory/skill_description/gravity_shockwave_superior;This Superior version of Gravity Shockwave extends Advanced protocol efficiencies with help of better interface materials.;;;;;;;;;
gui/menu/inventory/skill_description/gravity_shockwave_extreme;The ultimate version of Gravity Shockwave have highest possible time dilation and gravity damage, made plausible with special supporting subsystems.;;;;;;;;;
gui/menu/research/name/skill_gravity_shockwave_standard;Gravity Shockwave - Standard;;;;;;;;;
gui/menu/research/name/skill_gravity_shockwave_advanced;Gravity Shockwave - Advanced;;;;;;;;;
gui/menu/research/name/skill_gravity_shockwave_superior;Gravity Shockwave - Superior;;;;;;;;;
gui/menu/research/name/skill_gravity_shockwave_extreme;Gravity Shockwave - Extreme;;;;;;;;;
gui/menu/research/description/skill_gravity_shockwave_standard;Research into Petra Magneticus and ferdonite crystals allow creation of Gravity Shockwave, a special skill that can distort space to cause localized time dilation and tremendous gravity damage.;;;;;;;;;
gui/menu/research/description/skill_gravity_shockwave_advanced;Addition of new energy conduits and secondary capacitors enable more consistent triggers and longer time distortion for Gravity Shockwave protocol.;;;;;;;;;
gui/menu/research/description/skill_gravity_shockwave_superior;Incorporation of novel palladio-ferdonite superalloys and new energy mesh topology enable greater time warp and devastating gravity damage.;;;;;;;;;
gui/menu/research/description/skill_gravity_shockwave_extreme;Introduction of dedicated conduits and quantum oracles lead to real-time adaptation to flunctuating quantum space field for absolute maximum Gravity Shockwave protocol efficiencies.;;;;;;;;;
gui/menu/inventory/skill_name/radiation_burst;Radiation Burst;;;;;;;;;
gui/menu/inventory/skill_description/radiation_burst_standard;Discharge Mr. Riggs internal gluon fusion field powerplant to generate huge amount of radiation and simultaneously restore damaged mecha components.;;;;;;;;;
gui/menu/inventory/skill_description/radiation_burst_advanced;This Advanced protocol have higher radiation damage and self-repair capabilities due to optimization of radiation delivery and mecha design.;;;;;;;;;
gui/menu/inventory/skill_description/radiation_burst_superior;Superior version of Radiation Burst protocol further improves upon Advanced version thanks to enhanced radiation channeling and materials.;;;;;;;;;
gui/menu/inventory/skill_description/radiation_burst_extreme;The ultimate version of Radiation Burst exhibit greatest radiation damage and self-repair capabilities with help of special control systems.;;;;;;;;;
gui/menu/research/name/skill_radiation_burst_standard;Radiation Burst - Standard;;;;;;;;;
gui/menu/research/name/skill_radiation_burst_advanced;Radiation Burst - Advanced;;;;;;;;;
gui/menu/research/name/skill_radiation_burst_superior;Radiation Burst - Superior;;;;;;;;;
gui/menu/research/name/skill_radiation_burst_extreme;Radiation Burst - Extreme;;;;;;;;;
gui/menu/research/description/skill_radiation_burst_standard;Investigation of desert biome creatures and tanzanite kinematics lead to Radiation Burst protocol that repurpose Mr.Riggs reactor emissions to both damage enemies and, repair Mecha superstructure.;;;;;;;;;
gui/menu/research/description/skill_radiation_burst_advanced;Redesigned reactor interface and rearranged mecha superstructure allow improved Radiation Burst that exhibit higher radiation damage and, self-repair efficiency.;;;;;;;;;
gui/menu/research/description/skill_radiation_burst_superior;Integration of novel tanzanite complex alloys and redesigned radiation channeling enable denser radiation projection and higher self-repairing abilities of Radiation Burst.;;;;;;;;;
gui/menu/research/description/skill_radiation_burst_extreme;Addition of quantum sensors and special algorithms enable real time control of radiation discharge for greater damage and repairing capabilities of Radiation Burst protocol.;;;;;;;;;
gui/menu/inventory/consumable_name/acid_turret;Acid Turret;;;;;;;;;
gui/menu/inventory/consumable_description/acid_turret_standard;Acid Turret is a deployable combat system equipped with rapid firing Corrosive Gun.;;;;;;;;;
gui/menu/inventory/consumable_description/acid_turret_advanced;The Advanced version have higher firing rate and subsequently damage thanks to its new autoloading mechanism.;;;;;;;;;
gui/menu/inventory/consumable_description/acid_turret_superior;Superior Acid Turret boast greater damage and durability due to reformulated ammunition and superstructure.;;;;;;;;;
gui/menu/inventory/consumable_description/acid_turret_extreme;The ultimate Acid Turret version have highest damage output of its type thanks to better target search capabilities.;;;;;;;;;
gui/menu/research/name/consumable_acid_turret_standard;Acid Turret - Standard;;;;;;;;;
gui/menu/research/name/consumable_acid_turret_advanced;Acid Turret - Advanced;;;;;;;;;
gui/menu/research/name/consumable_acid_turret_superior;Acid Turret - Superior;;;;;;;;;
gui/menu/research/name/consumable_acid_turret_extreme;Acid Turret - Extreme;;;;;;;;;
gui/menu/research/description/consumable_acid_turret_standard;Research into special polymers and reactive chemistry lead to development of Corrosive Gun-armed system, Acid Turret.;;;;;;;;;
gui/menu/research/description/consumable_acid_turret_advanced;Redesigned acid capsules and autoloading mechanism enable higher damage output of Acid Turrets.;;;;;;;;;
gui/menu/research/description/consumable_acid_turret_superior;Forays into stable binary reagents and palladio-rhodonite superstructure lead to greater power of Acid Turrets.;;;;;;;;;
gui/menu/research/description/consumable_acid_turret_extreme;Integration of in-situ adaptive acid capsule production and more precise targeting allow maximum damage of Acid Turrets.;;;;;;;;;
gui/menu/inventory/consumable_name/alien_influence_turret;Morphium Spike;;;;;;;;;
gui/menu/inventory/consumable_description/alien_influence_turret_standard;A field-deployable version of Morphium Tower. The compact Morphium Spike do not have any shielding capabilities.;;;;;;;;;
gui/menu/inventory/consumable_description/alien_influence_turret_advanced;Advanced Morphium Spike exhibit greater physical damage at range thanks to improvements to their motive forces.;;;;;;;;;
gui/menu/inventory/consumable_description/alien_influence_turret_superior;The Superior version possess higher physical attack momentum due to improvements to morphium's morphing capabilities.;;;;;;;;;
gui/menu/inventory/consumable_description/alien_influence_turret_extreme;This version have the best physical damage potential which is enabled by targeting optimization measures.;;;;;;;;;
gui/menu/research/name/consumable_alien_influence_turret_standard;Morphium Spike - Standard;;;;;;;;;
gui/menu/research/name/consumable_alien_influence_turret_advanced;Morphium Spike - Advanced;;;;;;;;;
gui/menu/research/name/consumable_alien_influence_turret_superior;Morphium Spike - Superior;;;;;;;;;
gui/menu/research/name/consumable_alien_influence_turret_extreme;Morphium Spike - Extreme;;;;;;;;;
gui/menu/research/description/consumable_alien_influence_turret_standard;Investigation into morphium and alien morphs in Metallic Valley lead to synthesis of Morphium Spike, a field deployable version of Morphium Tower.;;;;;;;;;
gui/menu/research/description/consumable_alien_influence_turret_advanced;Successful symbiosis of Riftbreaker power systems with morphium allows higher propulsive efficiency of generated spikes.;;;;;;;;;
gui/menu/research/description/consumable_alien_influence_turret_superior;Addition of new routines to dynamically cycle heavy elements enable greater morphium spike attack mass against enemies.;;;;;;;;;
gui/menu/research/description/consumable_alien_influence_turret_extreme;Integration of distributed sensors and targeting lead to more accurate morphium spike attacks and thus overall damage.;;;;;;;;;
gui/menu/inventory/consumable_name/flamer_turret;Flamer Turret;;;;;;;;;
gui/menu/inventory/consumable_description/flamer_turret_standard;A converted Sentry Gun consumable equipped with compact short range flamethrower.;;;;;;;;;
gui/menu/inventory/consumable_description/flamer_turret_advanced;The Advanced version can project more thermal damage thanks to redesign of its fuel systems.;;;;;;;;;
gui/menu/inventory/consumable_description/flamer_turret_superior;This version can output even higher thermal damage due to better fuel properties and superstructure.;;;;;;;;;
gui/menu/inventory/consumable_description/flamer_turret_extreme;The ultimate Flamer Turret version exhibit greatest possible thermal damage thanks to special targeting optimizations.;;;;;;;;;
gui/menu/research/name/consumable_flamer_turret_standard;Flamer Turret - Standard;;;;;;;;;
gui/menu/research/name/consumable_flamer_turret_advanced;Flamer Turret - Advanced;;;;;;;;;
gui/menu/research/name/consumable_flamer_turret_superior;Flamer Turret - Superior;;;;;;;;;
gui/menu/research/name/consumable_flamer_turret_extreme;Flamer Turret - Extreme;;;;;;;;;
gui/menu/research/description/consumable_flamer_turret_standard;Research into energy dense fuels and lightweight alloys makes field-deployable Flamer Turret possible.;;;;;;;;;
gui/menu/research/description/consumable_flamer_turret_advanced;Integration of additional fuel tanks and revised discharge nozzles' design lead to better Flamer Turrets.;;;;;;;;;
gui/menu/research/description/consumable_flamer_turret_superior;Reformulation of thermal fluid and superstructure materials enable higher damage output of Flamer Turrets.;;;;;;;;;
gui/menu/research/description/consumable_flamer_turret_extreme;Addition of dedicated targeting sub-routines allow highest possible efficiency of Flamer Turrets.;;;;;;;;;
gui/menu/inventory/consumable_name/gravity_turret;Gravity Turret;;;;;;;;;
gui/menu/inventory/consumable_description/gravity_turret_standard;A special Sentry Gun armed with a gravity wave weapon that is very powerful against big creatures.;;;;;;;;;
gui/menu/inventory/consumable_description/gravity_turret_advanced;This version have higher attack efficiency thanks to better power supplies.;;;;;;;;;
gui/menu/inventory/consumable_description/gravity_turret_superior;The Superior version boast greater damage output due to its redesigned gravity wave mechanism.;;;;;;;;;
gui/menu/inventory/consumable_description/gravity_turret_extreme;Extreme Gravity Turret is the best performer of its class due to improvements in sensing and targeting.;;;;;;;;;
gui/menu/research/name/consumable_gravity_turret_standard;Gravity Turret - Standard;;;;;;;;;
gui/menu/research/name/consumable_gravity_turret_advanced;Gravity Turret - Advanced;;;;;;;;;
gui/menu/research/name/consumable_gravity_turret_superior;Gravity Turret - Superior;;;;;;;;;
gui/menu/research/name/consumable_gravity_turret_extreme;Gravity Turret - Extreme;;;;;;;;;
gui/menu/research/description/consumable_gravity_turret_standard;Investigation into Galatea 37 magma biome lifeforms and unique properties of ferdonite lead to inception of special Gravity Turrets.;;;;;;;;;
gui/menu/research/description/consumable_gravity_turret_advanced;Integration of adjunct power supplies and support capacitors allow greater gravity damage output of Gravity Turrets.;;;;;;;;;
gui/menu/research/description/consumable_gravity_turret_superior;Introduction of gravity inductors and titano-ferdonite alloys lead to higher wave attack intensities of Gravity Turrets.;;;;;;;;;
gui/menu/research/description/consumable_gravity_turret_extreme;New gravimetric sensors and dynamic focusing elements allow pinpoint gravity wave attacks and therefore damage of Gravity Turrets.;;;;;;;;;
gui/menu/inventory/consumable_name/grenadier_turret;Grenadier Turret;;;;;;;;;
gui/menu/inventory/consumable_description/grenadier_turret_standard;Field-deployable, self-contained autonomous automatic grenade launcher armed with high explosive grenades.;;;;;;;;;
gui/menu/inventory/consumable_description/grenadier_turret_advanced;The Advanced iteration of Grenadier Turret boast higher burst potential thanks to its improved ammunition feed.;;;;;;;;;
gui/menu/inventory/consumable_description/grenadier_turret_superior;The Superior variant features greater damage per given mass, enabled by novel grenade projectiles.;;;;;;;;;
gui/menu/inventory/consumable_description/grenadier_turret_extreme;This ultimate iteration have the best damage due to improvements in turret targeting and grenade design.;;;;;;;;;
gui/menu/research/name/consumable_grenadier_turret_standard;Grenadier Turret - Standard;;;;;;;;;
gui/menu/research/name/consumable_grenadier_turret_advanced;Grenadier Turret - Advanced;;;;;;;;;
gui/menu/research/name/consumable_grenadier_turret_superior;Grenadier Turret - Superior;;;;;;;;;
gui/menu/research/name/consumable_grenadier_turret_extreme;Grenadier Turret - Extreme;;;;;;;;;
gui/menu/research/description/consumable_grenadier_turret_standard;Development of lightweight explosives and durable autoloaders lead to creation of Grenadier Turrets.;;;;;;;;;
gui/menu/research/description/consumable_grenadier_turret_advanced;Redesigned auto-loading mechanism and extra ammunition storage allow higher launched grenade mass at range.;;;;;;;;;
gui/menu/research/description/consumable_grenadier_turret_superior;Newer high energy density explosives and faster servos enable greater explosive potential of Grenadier Turrets.;;;;;;;;;
gui/menu/research/description/consumable_grenadier_turret_extreme;Integration of adaptive grenade fuzing and, targeting elements allow maximization of Grenadier Turrets' explosive damage.;;;;;;;;;
gui/menu/inventory/consumable_name/radio_shotgun_turret;Radio Shotgun Turret;;;;;;;;;
gui/menu/inventory/consumable_description/radio_shotgun_turret_standard;Radio Shotgun Turret is a combat turret armed with scatter-shot radiation emitter.;;;;;;;;;
gui/menu/inventory/consumable_description/radio_shotgun_turret_advanced;This version exhibit greater radiation damage output thanks to new particle injection system.;;;;;;;;;
gui/menu/inventory/consumable_description/radio_shotgun_turret_superior;The Superior version have even greater damage at range due to redesigned particle delivery system.;;;;;;;;;
gui/menu/inventory/consumable_description/radio_shotgun_turret_extreme;The Extreme iteration boast greatest damage of its class which is enabled by superior search systems.;;;;;;;;;
gui/menu/research/name/consumable_radio_shotgun_turret_standard;Radio Shotgun Turret - Standard;;;;;;;;;
gui/menu/research/name/consumable_radio_shotgun_turret_advanced;Radio Shotgun Turret - Advanced;;;;;;;;;
gui/menu/research/name/consumable_radio_shotgun_turret_superior;Radio Shotgun Turret - Superior;;;;;;;;;
gui/menu/research/name/consumable_radio_shotgun_turret_extreme;Radio Shotgun Turret - Extreme;;;;;;;;;
gui/menu/research/description/consumable_radio_shotgun_turret_standard;Discovery of novel urano-tanzanite kinematics and special radiation-resistant alloys lead to development of Radio Shotgun Turrets.;;;;;;;;;
gui/menu/research/description/consumable_radio_shotgun_turret_advanced;Additional particle injectors and collimators enable faster refiring and thus damage of Radio Shotgun Turrets.;;;;;;;;;
gui/menu/research/description/consumable_radio_shotgun_turret_superior;Integration of high energy particle synchrotrons and channels enable greater radiation density of Radio Shotgun Turrets.;;;;;;;;;
gui/menu/research/description/consumable_radio_shotgun_turret_extreme;Introduction of adaptive focusing and dynamic backscatter sensors lead to highest damage potential of Radio Shotgun Turrets.;;;;;;;;;
gui/menu/inventory/consumable_name/thumper_turret;Thumper Turret;;;;;;;;;
gui/menu/inventory/consumable_description/thumper_turret_standard;A miniaturized, self-contained Shockwave Tower that can inflict cryo damage to enemies in a wide area.;;;;;;;;;
gui/menu/inventory/consumable_description/thumper_turret_advanced;The Advanced iteration have enhanced shockwave damage thanks to improvements to its trigger mechanisms.;;;;;;;;;
gui/menu/inventory/consumable_description/thumper_turret_superior;This version posit greater oscillations and subsequently burst cryo damage due to redesigned turret construction.;;;;;;;;;
gui/menu/inventory/consumable_description/thumper_turret_extreme;The ultimate version, Extreme edition have highest cryo damage potential enabled by intelligent processing.;;;;;;;;;
gui/menu/research/name/consumable_thumper_turret_standard;Thumper Turret - Standard;;;;;;;;;
gui/menu/research/name/consumable_thumper_turret_advanced;Thumper Turret - Advanced;;;;;;;;;
gui/menu/research/name/consumable_thumper_turret_superior;Thumper Turret - Superior;;;;;;;;;
gui/menu/research/name/consumable_thumper_turret_extreme;Thumper Turret  - Extreme;;;;;;;;;
gui/menu/research/description/consumable_thumper_turret_standard;Development into miniature triggers and resilient mechanical structures enable creation of field deployable shockwave-based Thumper Turret.;;;;;;;;;
gui/menu/research/description/consumable_thumper_turret_advanced;Redesigned triggers and shockwave channeling structures allow increased Thumper Turret damage output.;;;;;;;;;
gui/menu/research/description/consumable_thumper_turret_superior;Newer impetus fluids and tanzanite-titanite alloys lead to amplification of Thumper Turret shockwave oscillations.;;;;;;;;;
gui/menu/research/description/consumable_thumper_turret_extreme;Special targeting elements and adaptive actuators enable pinpoint shockwave focusing and enhance attack efficiencies.;;;;;;;;;
resource_name/advanced_consumables_manufacturing;Advanced Consumables Production;;;;;;;;;	
resource_name/ammo_mech_advanced_weapons;Advanced Mech Ammo;;;;;;;;;
resource_name/ammo_manufacturing_advanced_weapons;Advanced Mech Ammo Production;;;;;;;;;
gui/menu/inventory/category_name/weapon_advanced;Advanced Mech Weapons;;;;;;;;;
gui/hud/building_name/ammo_mech_advanced_weapons_factory;Advanced Mech Ammo Factory;;;;;;;;;
gui/hud/building_description/ammo_mech_advanced_weapons_factory;Compact ammunition factory manufacturing advanced mech ammunition and consumables. Requires hazenite flue to operate.;;;;;;;;;
gui/menu/inventory/weapon_name/gauss_rifle;Gauss Rifle;;;;;;;;;
gui/menu/inventory/weapon_charge_description/gauss_rifle;Overspool the rifle's ammunition feed mechanisms for greater damage at range.;;;;;;;;;
gui/menu/research/name/mech_gauss_rifle_standard;Gauss Rifle - Standard;;;;;;;;;
gui/menu/research/name/mech_gauss_rifle_advanced;Gauss Rifle - Advanced;;;;;;;;;
gui/menu/research/name/mech_gauss_rifle_superior;Gauss Rifle - Superior;;;;;;;;;
gui/menu/research/name/mech_gauss_rifle_extreme;Gauss Rifle - Extreme;;;;;;;;;
gui/menu/research/description/mech_gauss_rifle_standard;Integration of high caliber weaponry and advanced electromagnetic propulsion allow creation of highly adaptable Gauss Rifles.;;;;;;;;;
gui/menu/research/description/mech_gauss_rifle_advanced;Re-engineered high speed ammunition feeding mechanisms enable higher burst damage potential of Gauss Rifles.;;;;;;;;;
gui/menu/research/description/mech_gauss_rifle_superior;Newer high impact ballistics metallurgies and power circuits lead to higher possible efficiencies of Gauss Rifles.;;;;;;;;;
gui/menu/research/description/mech_gauss_rifle_extreme;Introduction of novel composite projectiles and more efficient electromagnetic accelerators boost damage of Gauss Rifles.;;;;;;;;;
gui/menu/inventory/weapon_name/LIPC_gun;LIPC Gun;;;;;;;;;
gui/menu/research/name/mech_LIPC_gun_standard;LIPC Gun - Standard;;;;;;;;;
gui/menu/research/name/mech_LIPC_gun_advanced;LIPC Gun - Advanced;;;;;;;;;
gui/menu/research/name/mech_LIPC_gun_superior;LIPC Gun - Superior;;;;;;;;;
gui/menu/research/name/mech_LIPC_gun_extreme;LIPC Gun - Extreme;;;;;;;;;
gui/menu/research/description/mech_LIPC_gun_standard;Minaturization of Lightning Spike technology and quantum processors allow creation of LIPC Guns.;;;;;;;;;
gui/menu/research/description/mech_LIPC_gun_advanced;Improved energy circuits and redesigned prediction algorithms lead to more predictable LIPC Guns' effects.;;;;;;;;;
gui/menu/research/description/mech_LIPC_gun_superior;Addition of palladio-tanzanite alloys and quantum sub-processor cores further boost damage output and frequency of LIPC Guns.;;;;;;;;;
