;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/description/dash_emergency_acid_standard;The aim of this research is to combine Dash and Acid shockwave to release an Acid shockwave that damages enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и кислотную волну, чтобы выпускать кислотную волну, наносящую урон врагам, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_acid_advanced;The aim of this research is to combine Dash and Acid shockwave to release an Acid shockwave that damages enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и кислотную волну, чтобы выпускать кислотную волну, наносящую урон врагам, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_acid_superior;The aim of this research is to combine Dash and Acid shockwave to release an Acid shockwave that damages enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и кислотную волну, чтобы выпускать кислотную волну, наносящую урон врагам, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_acid_extreme;The aim of this research is to combine Dash and Acid shockwave to release an Acid shockwave that damages enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и кислотную волну, чтобы выпускать кислотную волну, наносящую урон врагам, до телепортирования на короткое расстояние через поле портала.;;;;;;;
;;;;;;;;;;
gui/menu/research/name/dash_emergency_energy_standard;Emergency Dash - Energy - Standard;;Экстренный Рывок - Энергия - Стандартно;;;;;;;
gui/menu/research/name/dash_emergency_energy_advanced;Emergency Dash - Energy - Advanced;;Экстренный Рывок - Энергия - Улучшено;;;;;;;
gui/menu/research/name/dash_emergency_energy_superior;Emergency Dash - Energy - Superior;;Экстренный Рывок - Энергия - Превосходно;;;;;;;
gui/menu/research/name/dash_emergency_energy_extreme;Emergency Dash - Energy - Extreme;;Экстренный Рывок - Энергия - Экстремально;;;;;;;
;;;;;;;;;;
gui/menu/research/description/dash_emergency_energy_standard;The aim of this research is to combine Dash and Energy shockwave to release an Energy shockwave that stuns enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и энергетическую волну, чтобы выпускать энергетическую волну, оглушающую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_energy_advanced;The aim of this research is to combine Dash and Energy shockwave to release an Energy shockwave that stuns enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и энергетическую волну, чтобы выпускать энергетическую волну, оглушающую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_energy_superior;The aim of this research is to combine Dash and Energy shockwave to release an Energy shockwave that stuns enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и энергетическую волну, чтобы выпускать энергетическую волну, оглушающую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_energy_extreme;The aim of this research is to combine Dash and Energy shockwave to release an Energy shockwave that stuns enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и энергетическую волну, чтобы выпускать энергетическую волну, оглушающую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
;;;;;;;;;;
gui/menu/research/name/dash_emergency_fire_standard;Emergency Dash - Fire - Standard;;Экстренный Рывок - Огонь - Стандартно;;;;;;;
gui/menu/research/name/dash_emergency_fire_advanced;Emergency Dash - Fire - Advanced;;Экстренный Рывок - Огонь - Улучшено;;;;;;;
gui/menu/research/name/dash_emergency_fire_superior;Emergency Dash - Fire - Superior;;Экстренный Рывок - Огонь - Превосходно;;;;;;;
gui/menu/research/name/dash_emergency_fire_extreme;Emergency Dash - Fire - Extreme;;Экстренный Рывок - Огонь - Экстремально;;;;;;;
;;;;;;;;;;
gui/menu/research/description/dash_emergency_fire_standard;The aim of this research is to combine Dash and Fire shockwave to release a Fire shockwave that burns enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и огненную волну, чтобы выпускать огненную волну, поджигающую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_fire_advanced;The aim of this research is to combine Dash and Fire shockwave to release a Fire shockwave that burns enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и огненную волну, чтобы выпускать огненную волну, поджигающую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_fire_superior;The aim of this research is to combine Dash and Fire shockwave to release a Fire shockwave that burns enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и огненную волну, чтобы выпускать огненную волну, поджигающую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_fire_extreme;The aim of this research is to combine Dash and Fire shockwave to release a Fire shockwave that burns enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и огненную волну, чтобы выпускать огненную волну, поджигающую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
;;;;;;;;;;
gui/menu/research/name/dash_emergency_cryo_standard;Emergency Dash - Cryo - Standard;;Экстренный Рывок - Холод - Стандартно;;;;;;;
gui/menu/research/name/dash_emergency_cryo_advanced;Emergency Dash - Cryo - Advanced;;Экстренный Рывок - Холод - Улучшено;;;;;;;
gui/menu/research/name/dash_emergency_cryo_superior;Emergency Dash - Cryo - Superior;;Экстренный Рывок - Холод - Превосходно;;;;;;;
gui/menu/research/name/dash_emergency_cryo_extreme;Emergency Dash - Cryo - Extreme;;Экстренный Рывок - Холод - Экстремально;;;;;;;
;;;;;;;;;;
gui/menu/research/description/dash_emergency_cryo_standard;The aim of this research is to combine Dash and Cryo shockwave to release a Cryo shockwave that slows down enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и холодную волну, чтобы выпускать холодную волну, замедляющую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_cryo_advanced;The aim of this research is to combine Dash and Cryo shockwave to release a Cryo shockwave that slows down enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и холодную волну, чтобы выпускать холодную волну, замедляющую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_cryo_superior;The aim of this research is to combine Dash and Cryo shockwave to release a Cryo shockwave that slows down enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и холодную волну, чтобы выпускать холодную волну, замедляющую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_cryo_extreme;The aim of this research is to combine Dash and Cryo shockwave to release a Cryo shockwave that slows down enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и холодную волну, чтобы выпускать холодную волну, замедляющую врагов, до телепортирования на короткое расстояние через поле портала.;;;;;;;

