;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/objective_name/dlc_2/jungle_entrance/secure_area;Remove hostile presence.;Zlikwiduj wrogów.;Устраните враждебное присутствие.;Éliminez la présence hostile.;Entferne Feinde.;Elimina la presencia hostil.;Livre-se da presença hostil.;消灭敌对存在。;危険生物を一掃する。;적을 제거하세요.
gui/hud/objective_name/dlc_2/jungle_entrance/geoscanner;Map the area with the Geoscanner.;Sporządź mapę terenu za pomocą Geoskanera.;Создайте карту области с помощью геосканера.;Cartographiez la zone grâce au géoscanner.;Kartiere die Gegend mit dem Geoscanner.;Mapea la zona con el geoescáner.;Mapeie a área com o Explorador Geológico.;用岩屑分析仪绘制该区域地形图。;ジオスキャナを使ってエリアをマップする。;지질 스캐너로 지역을 지도에 기록하세요.
gui/hud/objective_name/dlc_2/jungle_entrance/caverns;Access the caverns system.;Uzyskaj dostęp do systemu jaskiń.;Попадите в систему пещер.;Accédez au réseau de cavernes.;Steige in das Grottensystem ein.;Accede al sistema de cavernas.;Acesse o sistema de cavernas.;访问洞穴系统。;洞窟網に進む。;동굴계로 가세요.
gui/hud/objective_name/dlc_2/jungle_entrance/caverns.elevator_build;Build a Mining Elevator on the designated location.;Zbuduj Windę Górniczą w wyznaczonym miejscu.;Постройте буровой лифт в указанном местоположении.;Construisez un ascenseur minier à l'endroit indiqué.;Baue am festgelegten Ort ein Minenförderwerk.;Construye un ascensor minero en la ubicación designada.;Construa um Elevador de Mineração no local designado.;在指定位置建立挖掘电梯。;指定された位置に採掘エレベーターを設置する。;지정된 장소에 채굴 엘리베이터를 건설하세요.
gui/hud/objective_name/dlc_2/jungle_entrance/caverns.activate_drill;Activate the drill.;Aktywuj wiertło.;Активируйте бур.;Activez l'ascenseur.;Aktiviere den Bohrer.;Activa el ascensor.;Ative a perfuratriz.;激活钻机。;ドリルを稼働させる。;드릴을 활성화시키세요.
gui/hud/objective_name/dlc_2/jungle_entrance/caverns.protect_elevator;Protect the mining elevator.;Obroń Windę Górniczą.;Защитите буровой лифт.;Protégez l'ascenseur minier.;Beschütze das Minenförderwerk.;Protege el ascensor minero.;Proteja o Elevador de Mineração.;保护采矿电梯。;採掘エレベーターを守る。;채굴 엘리베이터를 방어하세요.
gui/hud/objective_name/dlc_2/jungle_entrance/emissions;Investigate energy emission sites (optional):;Zbadaj miejsca emisji energii (opcjonalnie):;Исследуйте точки излучения энергии (необязательно):;Examinez les sites d'émission d'énergie (facultatif) :;Untersuche Stellen mit Energieemissionen (optional):;Investiga los puntos de emisión de energía (opcional):;Investigue os locais de emissão de energia. (opcional):;调查能量发射站点（可选）：;エネルギー放出位置を調査する（任意）：;에너지 방출 지점을 조사하세요 (선택):
gui/hud/objective_name/dlc_2/jungle_entrance/emissions.site_a;Site A;Miejsce A;Точка A;Site A;Standort A;Punto A;Local A;A站;サイトA;A 지점
gui/hud/objective_name/dlc_2/jungle_entrance/emissions.site_b;Site B;Miejsce B;Точка B;Site B;Standort B;Punto B;Local B;B站;サイトB;B 지점
gui/hud/objective_name/dlc_2/jungle_entrance/emissions.site_c;Site C;Miejsce C;Точка C;Site C;Standort C;Punto C;Local C;C站;サイトC;C 지점
gui/hud/objective_name/dlc_2/jungle_entrance/emissions.site_d;Site D;Miejsce D;Точка D;Site D;Standort D;Punto D;Local D;D站;サイトD;D 지점
gui/hud/objective_name/dlc_2/caverns_entrance/investigate;Investigate unusual readings.;Zbadaj nietypowe odczyty.;Исследуйте природу необычных показаний.;Examinez les données inhabituelles.;Untersuche ungewöhnliche Messwerte.;Investiga las lecturas inusuales.;Investigue as leituras incomuns.;调查异常读数。;異常な検出を調査する。;특이한 신호를 조사하세요.
gui/hud/objective_name/dlc_2/caverns_entrance/boss.kill;Defeat the creature.;Pokonaj stwora.;Победите существо.;Vainquez la créature.;Besiege die Kreatur.;Derrota a la criatura.;Derrote a criatura.;击败怪物。;クリーチャーを倒す。;생명체를 처치하세요.
gui/hud/objective_name/dlc_2/caverns_entrance/exit;Enter the passage to the caverns below.;Udaj się głębiej przez przejście.;Войдите в проход к пещерам.;Prenez le passage qui mène aux cavernes du niveau inférieur.;Betritt den Gang zu den darunterliegenden Grotten.;Llega por el pasadizo hasta las cavernas inferiores.;Entre na passagem para as cavernas abaixo.;进入下面的洞穴通道。;下の洞窟につながる通り道に入る。;하부 동굴 통로로 들어가세요.
gui/hud/objective_name/dlc_2/outpost_1/dig;Dig through the limestone.;Przekop się przez wapień.;Пробурите известняк.;Creusez dans le calcaire.;Grabe dich durch den Kalkstein.;Excava en la caliza.;Escave o calcário.;穿过石灰岩。;石灰岩を掘り通す。;석회암을 뚫으세요.
gui/hud/objective_name/dlc_2/outpost_1/wind_tunnel_find;Find a good location to build an outpost.;Znajdź dobre miejsce na budowę posterunku.;Найдите подходящее место для аванпоста.;Trouvez un emplacement adéquat pour construire un avant-poste.;Finde einen guten Standort für die Errichtung eines Außenpostens.;Busca una buena ubicación para construir un puesto remoto.;Encontre um bom local para construir um Posto Avançado.;找到一个合适的位置建造哨站。;前哨基地を作るのに適切な場所を見つける。;적당한 장소를 찾아 전초기지를 건설하세요.
gui/hud/objective_name/dlc_2/outpost_1/build_outpost;Build an outpost.;Zbuduj posterunek.;Постройте аванпост.;Construisez un avant-poste.;Errichte einen Außenposten.;Construye un puesto remoto.;Construa um Posto Avançado.;建造哨站。;前哨基地を作る。;전초기지를 건설하세요.
gui/hud/objective_name/dlc_2/outpost_1/scout;Explore the caverns.;Eksploruj jaskinie.;Исследуйте пещеры.;Explorez les cavernes.;Erkunde die Grotten.;Explora las cavernas.;Explore as cavernas.;探索洞穴。;洞窟を調査する。;동굴을 탐험하세요.
gui/hud/objective_name/dlc_2/outpost_1/sonic_grenade.throw;Use Sonic Grenades to map deeper tunnels.;Użyj Granatów Sonicznych aby zmapować głębsze tunele.;Используйте звуковые гранаты для создания карты глубоких туннелей.;Utilisez des grenades soniques pour cartographier les tunnels plus profonds.;Verwende Schallgranaten, um die tieferen Tunnel zu kartieren.;Usa las granadas sónicas para mapear túneles más profundos.;Use Granadas Sônicas para mapear os túneis mais profundos.;使用手榴弹探测更深的隧道。;ソニックグレネードを使って深部のトンネルをマップする。;음파 수류탄을 사용해 깊은 터널을 지도에 기록하세요.
gui/hud/objective_name/dlc_2/outpost_2/network;Build and activate Seismic Laboratories:;Zbuduj i uruchom Laboratoria Sejsmiczne:;Постройте и активируйте сейсмические лаборатории:;Construisez et activez des laboratoires sismiques :;Baue und aktiviere seismische Labors:;Construye y activa laboratorios sísmicos:;Construa e ative Laboratórios Sísmicos:;建造并激活地震实验室：;地震ラボを建設し、稼動する：;지진 실험실을 건설하고 활성화하세요:
gui/hud/objective_name/dlc_2/outpost_2/network.ai;Provide AI Cores for navigation network:;Dostarcz rdzenie SI dla sieci nawigacyjnej:;Обеспечьте ИИ-ядра для системы навигации:;Fournissez des noyaux d'IA pour le réseau de navigation :;Beschaffe KI-Kerne für das Navigationsnetzwerk:;Proporciona núcleos de IA para la red de navegación:;Forneça Núcleos de IA para uma rede de navegação:;为导航网络提供人工智能核心：;ナビゲーションネットワークにAIコアを供給する：;네비게이션 네트워크를 위한 AI 코어를 제공하세요:
gui/hud/objective_name/dlc_2/outpost_2/network.pipeline;Connect all laboratories with a single pipeline.;Połącz wszystkie laboratoria jednym rurociągiem.;Соедините все лаборатории одним трубопроводом.;Reliez tous les laboratoires avec un seul pipeline.;Verbinde alle Labore mit einer einzigen Pipeline.;Conecta todos los laboratorios con una sola tubería.;Conecte todos os laboratórios com uma única tubulação.;用单一的管道连接所有实验室。;すべてのラボを1つのパイプラインでつなぐ。;하나의 파이프라인으로 모든 실험실을 연결하세요.
gui/hud/objective_name/dlc_2/exploration/seismic_map;Create a seismic map of the Crystal Caverns.;Utwórz mapę sejsmiczną Kryształowych Jaskiń.;Создайте сейсмическую карту Кристаллических пещер.;Créez une carte sismique des Cavernes de cristal.;Lege eine seismische Karte der Kristallgrotten an.;Crea un mapa sísmico de las cavernas de cristal.;Crie um mapa sísmico das Cavernas de Cristal.;创建水晶之穴的地震图。;結晶洞窟の地底マップを作る。;크리스털 동굴의 지진 지도를 만드세요.
gui/hud/objective_name/dlc_2/exploration/seismic_map.grenade_mapping;Throw Sonic Grenades into the deepest caves.;Rzuć Granaty Soniczne we wnętrze najgłębszych jaskiń.;Забросьте звуковые гранаты в глубочайшие пещеры.;Lancez des grenades soniques dans les cavernes les plus profondes.;Wirf Schallgranaten in die tiefsten Höhlen.;Lanza granadas sónicas a las cuevas más profundas.;Jogue Granadas Sônicas nas cavernas mais profundas.;把手榴弹扔进最深的洞穴。;最深部の洞窟にソニックグレネードを投じる。;음파 수류탄을 깊은 동굴로 던지세요.
gui/hud/objective_name/dlc_2/exploration/cave_collapsing;Return to the Crystal Caves Outpost. This cave is collapsing!;Wróć do posterunku w Kryształowych Jaskiniach. Jaskinia się zawala!;Вернитесь на аванпост в Кристаллических пещерах. Происходит обвал!;Retournez à l'avant-poste des Cavernes de cristal, cette caverne s'effondre !;Kehre zum Außenposten der Kristallgrotten zurück. Diese Höhle stürzt ein!;Regresa al puesto remoto de la caverna de cristal. ¡La cueva se derrumba!;Volte para o Posto Avançado das Cavernas de Cristal. Esta caverna está desmoronando!;返回水晶之穴哨站。这个洞穴正在坍塌！;結晶洞窟の前哨基地に戻る。この洞窟は崩れ始めた！;크리스털 동굴 전초기지로 돌아가세요. 동굴이 무너지고 있습니다!
gui/hud/objective_name/dlc_2/tunnel/explore;Traverse the tunnel.;Przemierzaj tunel.;Пройдите по туннелю.;Traversez le tunnel.;Durchquere den Tunnel.;Atraviesa el túnel.;Atravesse o túnel.;穿过隧道。;トンネルを進む。;터널을 가로지르세요.
gui/hud/objective_name/dlc_2/tunnel/exit;Enter the Anoryx Cavern.;Wejdź do jaskini Anoryxu.;Войдите в пещеру анорикса.;Entrez dans la caverne d'anoryx.;Betritt die Anoryx-Grotte.;Entra en la caverna de anoryx.;Entre na Caverna de Anoryx.;进入阿诺历克斯洞穴。;アノリクス洞窟に入る。;아노릭스 동굴에 들어가세요.
DIALOG/story/dlc_2/mech_headquarters_01;Warning! Seismic anomaly detected.;Uwaga! Wykryto anomalię sejsmiczną.;Внимание! Обнаружена сейсмическая аномалия.;Attention ! Anomalie sismique détectée.;Achtung! Seismische Anomalie geortet.;¡Alerta! Anomalía sísmica detectada.;Aviso! Anomalia sísmica detectada.;警告！检测到地震异常。;警告！地震アノマリーを検出。;경고! 이상 지진 현상 감지.
DIALOG/story/dlc_2/ashley_headquarters_01;I feel the ground moving below us... It's not a typical earthquake.;Czuję, że ziemia porusza się pod nami... To nie typowe trzęsienie ziemi.;Я чувствую, как под нами движется земля... Это не обычное землетрясение.;Je sens que la terre bouge sous nos pieds… Ce n'est pas un tremblement de terre classique.;Ich spüre, wie sich der Boden bewegt ... Das ist kein normales Erdbeben.;La tierra se mueve bajo nuestros pies. Esto no es un terremoto normal.;O chão está tremendo… e isso não é um terremoto qualquer.;我感觉地面在我们下面动了起来....这不是典型的地震。;私たちの下の地面が動いてるのを感じる…。普通の地震じゃないわ。;땅이 움직이는 기분인데... 일반적인 지진이 아니야.
DIALOG/story/dlc_2/mech_headquarters_02;Warning! Energy blast incoming.;Uwaga! Nadchodzi wybuch energii.;Внимание! Ожидается энергетический удар.;Attention ! Explosion d'énergie imminente.;Achtung! Energieexplosion steht bevor.;¡Alerta! Estallido de energía inminente.;Aviso! Explosão energética iminente.;警告！能量冲击即将到来。;気をつけろ！エネルギー波が来るぞ。;경고! 에너지 폭발 접근 중.
DIALOG/story/dlc_2/ashley_headquarters_02;What is going on? Where did that light come from?;Co się dzieje? Skąd się wzięło to światło?;Что происходит? Откуда взялся этот свет?;Qu'est-ce qui se passe ? D'où venait cette lumière ?;Was geht hier vor? Woher ist dieses Licht gekommen?;¿Qué pasa? ¿De dónde ha salido esa luz?;O que tá acontecendo? De onde veio aquela luz?;发生了什么？那道光是从哪里来的？;何が起こっているの？あの光はどこから来たの？;무슨 일이 벌어지는 거야? 저 빛은 어디에서 온 거고?
DIALOG/story/dlc_2/mech_headquarters_03;The light flash resulted from a sudden energy eruption, and the earlier seismic anomaly must have been caused by an enormous object moving deep underground.;Błysk światła był wynikiem nagłej erupcji energii, a wcześniejsza anomalia sejsmiczna musiała być spowodowana przez ogromny obiekt poruszający się głęboko pod ziemią.;Вспышка света произошла в результате внезапного выброса энергии, а произошедшая ранее сейсмическая аномалия, должно быть, была вызвана огромным объектом, двигающимся под землей.;L'éclat de lumière provenait d'une éruption énergétique soudaine. L'anomalie sismique précédemment observée a dû être causée par un énorme objet qui se déplace en profondeur.;Der Lichtblitz war die Folge von einem plötzlichen Energieausbruch und die seismische Anomalie zuvor muss von einem gigantischen Objekt ausgelöst worden sein, das sich tief unter der Oberfläche bewegt hat.;El destello de luz provenía de una erupción de energía repentina. La anomalía sísmica anterior debió causarla un enorme objeto que se mueve en las profundidades subterráneas.;O clarão de luz resultou de uma erupção energética súbita, e a anomalia sísmica anterior deve ter sido causada por um corpo gigantesco movendo-se abaixo da terra.;光闪是因为突然能量喷发造成的，早先的地震异常必须是由一个在地下深处移动的巨大物体引起的。;今の閃光は突然のエネルギー爆発によるものだ。さっきの地震アノマリーは、地下深くを動く何かによって引き起こされたに違いない。;갑작스러운 에너지 분출로 인한 섬광입니다. 초기의 이상 지진 현상도 지하 깊은 곳에서 움직이는 거대한 물체 때문인 것으로 보입니다.
DIALOG/story/dlc_2/ashley_headquarters_03;Did the earthquake cause the flash? That's quite unusual. Mr. Riggs, can you locate the source of the energy emission?;Czy to trzęsienie ziemi spowodowało ten rozbłysk? To dość niezwykłe. Panie Riggs, czy może pan zlokalizować źródło emisji energii?;Землетрясение вызвало вспышку? Это необычно. Мистер Ригз, можешь вычислить источник выброса энергии?;C'est le tremblement de terre qui a causé l'éclat de lumière ? Bizarre. M. Riggs, tu peux localiser la source d'énergie ?;Hat das Erdbeben den Blitz ausgelöst? Das ist ziemlich ungewöhnlich. Mr. Riggs, kannst du die Quelle der Energie-Emission orten?;¿El terremoto ha provocado el destello? Esto es muy raro. Sr. Riggs, ¿puedes localizar la fuente de emisión de energía?;O terremoto causou o clarão? Que estranho… Sr. Riggs, você consegue localizar a origem da emissão energética?;地震引起闪光吗？这很不寻常。里格斯先生，你能定位能量发射源的位置吗？;地震が閃光を引き起こしたの？それってかなり変よね。ミスター・リグス、エネルギーが放出した位置を特定できる？;지진 때문에 빛이 나타났다고? 좀 이상하네. 릭스, 에너지 방출의 근원지를 알아낼 수 있어?
DIALOG/story/dlc_2/mech_headquarters_04;Affirmitive, Ashley. I have marked its approximate location on your map. It is very close. Please, maintain caution when visiting that site.;Potwierdzam, Ashley. Zaznaczyłem jego przybliżone położenie na twojej mapie. Jest bardzo blisko. Zachowaj ostrożność, odwiedzając to miejsce.;Подтверждаю, Эшли. Я отметил приблизительное местоположение на карте. Это совсем рядом. Будь осторожнее в этой точке.;Affirmatif, Ashley. J'ai indiqué la localisation approximative sur ta carte. C'est tout près. Sois prudente, s'il te plaît.;Positiv, Ashley. Ich habe ihre ungefähre Position auf deiner Karte markiert. Sie ist ganz in der Nähe. Bitte sei weiterhin vorsichtig, wenn du dorthin gehst.;Afirmativo, Ashley. He marcado su ubicación aproximada en el mapa. Está muy cerca. Ten cuidado al visitar la zona.;Afirmativo, Ashley. A localização aproximada foi marcada no mapa. Está bem perto. Por favor, tenha cuidado ao visitar o local.;肯定的，阿雪莉。我已经在你的地图上标出了它的大致位置。它非常接近。请在访问该站点时保持谨慎。;了解した、アシュリー。おおよその場所をマップに記しておいた。かなり近いぞ。エリアに近づく際は注意してくれよな。;물론입니다, 애슐리. 지도에 대략적인 위치를 표시했습니다. 아주 가깝습니다. 그 지점을 방문하는 동안 주의해 주세요.
DIALOG/story/dlc_2/ashley_headquarters_04;What is this form? We haven't seen anything like this on Galatea, yet it feels strangely familiar. I don't like this.;Co to jest? Nie widzieliśmy czegoś takiego na Galatei, a jednak wydaje się dziwnie znajoma. Nie podoba mi się to.;Это еще что? На Галатее не было ничего подобного, но все же у меня странное ощущение чего-то знакомого. Мне это не нравится.;Qu'est-ce que c'est ? On n'a rien vu de tel sur Galatea, mais ça me semble bizarrement familier. Je n'aime pas ça.;Was ist das für eine Form? Auf Galatea haben wir noch nie so etwas gefunden und doch wirkt es irgendwie vertraut. Das gefällt mir nicht.;¿Qué es? No había visto nada igual en Galatea, pero me resulta extrañamente familiar. Esto no me gusta.;Que formação é essa? Nunca vimos nada assim em Galatea, e mesmo assim me parece estranhamente familiar… Não estou gostando disso…;这是什么形态？我们在伽拉忒亚上没有见过这样的东西，但它感觉有点熟悉。我不喜欢这个感觉。;これって何？ガラテアでこんなものを見たことがないけど、何だか妙な近親感を覚える。嫌な感じがするわ。;이건 어떤 형태지? 갈라테아에서 이런 건 본 적이 없는데, 낯설면서 친근한 느낌이야. 느낌이 좋지 않아.
DIALOG/story/dlc_2/mech_headquarters_05;Be careful, Ashley. This object is a strong energy emitter. It has a part organic, part mineral composition.;Bądź ostrożna, Ashley. Ten obiekt jest silnym emiterem energii. Ma częściowo organiczny, częściowo mineralny skład.;Осторожнее, Эшли. Объект излучает мощный энергетический поток. Состав частично органический, частично минеральный.;Sois prudente, Ashley. Cet objet est un émetteur d'énergie puissant, en partie organique mais aussi minéral.;Sei vorsichtig, Ashley. Dieses Objekt ist ein starker Energiesender. Es ist teils organisch, teils mineralisch.;Cuidado, Ashley. Este objeto es un potente emisor de energía. Su composición es parte orgánica y parte mineral.;Cuidado, Ashley. Este objeto é um emissor energético poderoso. Sua composição é tanto orgânica quanto mineral.;要小心，阿雪莉。这个物体是一个强大的能量发射器。它具有部分有机，部分矿物质的组成。;気をつけろよ、アシュリー。この物体からは強力なエネルギーが放たれている。有機的でもあり、結晶組成でもある。;조심하세요, 애슐리. 이건 강력한 에너지 방출지니까요. 일부는 유기체이면서 다른 부분은 광물입니다.
DIALOG/story/dlc_2/ashley_headquarters_05;It's giving me a strange déjà vu feeling. Whatever this thing is, we have to take a sample. Let's see what happens when we interact with it.;Mam dziwne uczucie déjà vu. Czymkolwiek jest to coś, musimy pobrać próbkę. Zobaczmy, co się stanie, gdy wejdziemy z tym w interakcję.;У меня странное ощущение дежа вю. Что бы это ни было, нам нужен образец. Посмотрим, как он реагирует на взаимодействие.;Ça me donne une sensation de déjà-vu. Quoi que ce soit, il nous faut un échantillon. Voyons si on peut interagir avec cet objet.;Es löst bei mir ein merkwürdiges Déjà-vu-Gefühl aus. Was auch immer das sein mag: Wir müssen eine Probe nehmen. Sehen wir mal, was passiert, wenn wir damit interagieren.;Me está dando una extraña sensación de «déjà vu». Sea lo que sea, tenemos que tomar una muestra. A ver qué pasa cuando interactuamos con él.;Hum… déjà vu. O que quer que seja essa coisa, precisamos coletar uma amostra. Vejamos o que acontece quando interagimos com ela.;它让我有一种奇怪的既视感。不管这是什么，我们必须取一个样本。让我们看看与它交互时会发生什么。;これを見ているとデジャヴュを感じるわ。これが何であれ、サンプルを取るべきね。これに触れると何が起こるか試してみましょう。;묘한 데자뷔가 느껴져. 아무튼 샘플을 가져가야겠어. 만져보면 어떻게 될지 확인해 보자.
DIALOG/story/dlc_2/ashley_headquarters_06;Ahh, my hand!;Ahh, moja ręka!;Ай, рука!;Ahh, ma main !;Ah, meine Hand!;¡La mano!;Ai! Minha mão!;啊，我的手！;あぁぁ、私の手が！;앗, 내 손이야!
DIALOG/story/dlc_2/mech_headquarters_06;Warning! Enemy swarm incoming.;Uwaga! Nadchodzi stado wrogów.;Внимание! Приближается враждебная стая.;Attention ! Vague ennemie en approche.;Achtung! Ein feindlicher Schwarm nähert sich.;¡Alerta! Se acerca un enjambre enemigo.;Aviso! Horda inimiga iminente.;警告！敌人群袭来。;気をつけろ！敵の一群が押し寄せて来るぞ。;경고! 적 무리 접근 중.
DIALOG/story/dlc_2/mech_headquarters_07;Threat eliminated, we can finish inspecting the anomaly.;Zagrożenie wyeliminowane, możemy zakończyć badanie anomalii.;Угроза устранена, можем дальше заниматься аномалией.;Menace éliminée, nous pouvons continuer à examiner l'anomalie.;Die Bedrohung wurde eliminiert, wir können die Anomalie weiter untersuchen.;Amenaza eliminada, podemos terminar de inspeccionar la anomalía.;Ameaça eliminada. Podemos prosseguir com a inspeção da anomalia.;威胁消除，我们可以继续检查异常。;脅威を排除した。これでアノマリーを調べられるな。;위협이 제거되었습니다. 이상 현상의 조사를 마칠 수 있습니다.
DIALOG/story/dlc_2/mech_headquarters_08;Bioanomaly sampling completed. Data analysis in progress.;Zakończono pobieranie próbek z bioanomalii. Trwa analiza danych.;Образец биоаномалии получен. Идет анализ данных.;Échantillonnage de l'anomalie biologique terminée. Analyse des données en cours.;Die Probenentnahme der Bioanomalie ist abgeschlossen. Die Datenanalyse läuft.;Muestreo de anomalía biológica completada. Análisis de datos en curso.;Coleta da bioanomalia realizada. Análise de dados em andamento.;生物异常采样已完成。数据分析正在进行中。;バイオアノマリーのサンプル収集を完了。データ分析中。;바이오현상 샘플링 완료. 데이터 분석 진행 중.
