;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
launcher/label/shadow_quality;Shadow quality;Jakość cienia;Качество теней;Qualité des ombres;Schattenqualität;Calidad de las sombras;Qualidade da sombra;阴影质量;影のクオリティー;그림자 품질
launcher/label/shadow_quality_ray;Ray traced shadow quality;Ray traced shadow quality;Ray traced shadow quality;Ray traced shadow quality;Ray traced shadow quality;Ray traced shadow quality;Ray traced shadow quality;Ray traced shadow quality;Ray traced shadow quality;Ray traced shadow quality
launcher/label/soft_shadows;Soft shadows;Miękkie Cienie;Мягкие тени;Ombres atténuées;Weiche Schatten;Sombreado suave;Sombras suavizadas;软阴影;ソフトシャドー;부드러운 그림자
launcher/label/soft_shadows_ray;Raytraced soft shadows;Raytraced soft shadows;Raytraced soft shadows;Raytraced soft shadows;Raytraced soft shadows;Raytraced soft shadows;Raytraced soft shadows;Raytraced soft shadows;Raytraced soft shadows;Raytraced soft shadows
launcher/label/texture_filtering;Texture filtering;Filtrowanie tekstur;Фильтрация текстур;Filtrage des textures;Textur-Filterung;Filtro de texturas;Filtragem das texturas;纹理滤波;テクスチャフィルタリング;텍스처 필터링
launcher/label/texture_quality;Texture quality;Jakość tekstur;Качество текстур;Qualité des textures;Textur-Qualität;Calidad de texturas;Qualidade das texturas;纹理质量;質感のクオリティー;텍스처 품질
launcher/label/upscale;Resolution scaling;Skalowanie Rozdzielczości;Масштабирование разрешения;Résolution d'images;Skalierung der Auflösung;Escala de resolución;Dimensionamento da resolução;分辨率;解像度スケーリング;해상도 스케일링
launcher/label/vrs;FidelityFX Variable Shading;FidelityFX Variable Shading;FidelityFX Variable Shading;FidelityFX Variable Shading;FidelityFX Variable Shading;FidelityFX Variable Shading;FidelityFX Variable Shading;FidelityFX Variable Shading;FidelityFX Variable Shading;FidelityFX Variable Shading
launcher/label/vsync;Vertical Synchronization;Synchronizacja Pionowa;Вертикальная синхронизация;Synchronisation verticale;Vertikale Synchronisation;Sincronización vertical;Sincronização vertical;垂直同步;垂直同期;수직 동기화
launcher/label/fsr;FidelityFX Super Resolution;FidelityFX Super Resolution;FidelityFX Super Resolution;FidelityFX Super Resolution;FidelityFX Super Resolution;FidelityFX Super Resolution;FidelityFX Super Resolution;FidelityFX Super Resolution;FidelityFX Super Resolution;FidelityFX Super Resolution
launcher/value/borderless;Borderless Window;Bezramowe Okno;Окно без рамки;Fenêtre sans bords;Fenstermodus (randlos);Ventana sin bordes;Janela sem bordas;无边窗口;ボーダレスウィンドウ;전체 창보드
launcher/value/custom;Custom;Użytkownika;Пользовательские;Personnaliser;Standard;Personalizado;Personalizado;自定义;カスタム;사용자 지정
launcher/value/dx11;DirectX 11;DirectX 11;DirectX 11;DirectX 11;DirectX 11;DirectX 11;DirectX 11;DirectX 11;DirectX 11;DirectX 11
launcher/value/dx12;DirectX 12;DirectX 12;DirectX 12;DirectX 12;DirectX 12;DirectX 12;DirectX 12;DirectX 12;DirectX 12;DirectX 12
launcher/value/full;Full;Pełna;Максимум;Complet;Voll;Completo;Completa;全屏;フル;전체
launcher/value/fullscreen;Full Screen;Pełny Ekran;Полноэкранный режим;Plein écran;Vollbild;Pantalla completa;Tela inteira;全屏;フルスクリーン;전체 화면
launcher/value/fxaa;FXAA;FXAA;FXAA;FXAA;FXAA;FXAA;FXAA;FXAA;FXAA;FXAA
launcher/value/hbao;HBAO;HBAO;HBAO;HBAO;HBAO;HBAO;HBAO;HBAO;HBAO;HBAO
launcher/value/hbao_plus;HBAO+;HBAO+;HBAO+;HBAO+;HBAO+;HBAO+;HBAO+;HBAO+;HBAO+;HBAO+
launcher/value/high;High;Wysokie;Высокие;Élevé (e );Hoch;Alta;Alta;高;高;높음
launcher/value/languages;English;Polski;Русский;Français;Deutsch;Español;Português;简体中文;日本語;한국어
launcher/value/low;Low;Niskie;Низкие;Bas (se);Niedrig;Baja;Baixa;低;低;낮음
launcher/value/medium;Medium;Średnie;Средние;Moyen (ne);Mittel;Media;Média;中;中;중간
launcher/value/no;No;Nie;Нет;Non;Nein;No;Não;不;いいえ;아니오
launcher/value/none;None;Brak;Нет;Sans;Keine;Ninguna;Nenhuma;无;なし;없음
launcher/value/off;Off;Wyłączone;Выкл.;Désactivé (e );Aus;No;Desligado;关;オフ;끄기
launcher/value/on;On;Włączone;Вкл.;Activé (e );An;Sí;Ligado;开;オン;켜기
launcher/value/txaa;TXAA;TXAA;TXAA;TXAA;TXAA;TXAA;TXAA;TXAA;TXAA;TXAA
launcher/value/ultra;Ultra;Ultra;Ультра;Ultra;Ultra;Ultra;Ultra;最高;ウルトラ;가장 높음
launcher/value/wind_only;Wind Only;Tylko Wiatr;Только ветер;Vent uniquement;Nur Wind;Solo viento;Apenas Vento;只出现风;風のみ;바람만
launcher/value/window;Windowed;Okno;Оконный режим;Fenêtré;Fenstermodus;Modo ventana;Janela sem bordas;窗口;ウィンドウ表示;창 모드
launcher/value/yes;Yes;Tak;Да;Oui;Ja;Sí;Sim;是;はい;예
launcher/value/performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
launcher/value/balanced;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced
launcher/value/quality;Quality;Quality;Quality;Quality;Quality;Quality;Quality;Quality;Quality;Quality
launcher/value/ultra_quality;Ultra Quality;Ultra Quality;Ultra Quality;Ultra Quality;Ultra Quality;Ultra Quality;Ultra Quality;Ultra Quality;Ultra Quality;Ultra Quality
launcher/label/textures_quality;Texture quality;Jakość tekstur;Качество текстур;Qualité des textures;Textur-Qualität;Calidad de texturas;Qualidade das texturas;纹理质量;テクスチャの品質;텍스처 품질
