;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/skill_description/tornado_acid_upgraded;The improved vacuum generator creates an evemn more volatile vortex, capable of dealing higher damage and lasting for a longer amount of time.;Ulepszony generator próżni pozwala na wytworzenie jeszcze bardziej gwałtownego wiru powietrza. Sprawia to, że wir może pokonać większy dystans i zadać jeszcze większe obrażenia przez dłuższy czas.;Усовершенствованный вакуумный генератор создает еще более скоростное завихрение, наносящее повышенный урон и длящееся более продолжительное время.;Le générateur de vide amélioré génère un vortex encore plus instable, susceptible d’infliger des dégâts plus importants et qui dure plus longtemps.;Durch die verbesserte Vakuumerzeugung entsteht ein noch schnellerer Wirbel, der mehr Schaden verursacht und länger andauert.;El generador de vacíos mejorado crea un vórtice aún más volátil, capaz de infligir un mayor daño y de durar más tiempo.;O gerador de vácuo aprimorado cria um vórtice ainda mais volátil, capaz de causar dano maior e durar por mais tempo.;改进后的真空发生器能产生更加不稳定的漩涡，造成的伤害更高，持续时间更长。;さらに強烈な渦を生み出す、真空生成機の改良型。通常よりも高いダメージを与えることができ、霧散するまでの時間も延びている。;개선된 진공 생성기는 더욱 강력하고 불안정한 소용돌이를 만들어냅니다. 소용돌이는 더 높은 피해를 입히며, 더 오래 지속됩니다.
gui/menu/inventory/skill_name/tornado_acid;Acid Tornado;Kwasowe Tornado;Кислотный торнадо;Tornade d’acide;Säuretornado;Tornado de ácido;Tornado de Ácido;酸液龙卷风;アシッドトルネード;산성 토네이도
gui/menu/inventory/weapon_name/debug_lightning_gun;Debug Lightning Gun;Debugowy Karabin Elektryczny;Debug Lightning Gun;Debug Lightning Gun;Debug Lightning Gun;Debug Lightning Gun;Debug Lightning Gun;Debug Lightning Gun;Debug Lightning Gun;Debug Lightning Gun
gui/popup/incompatible_mods;Some of the game Mods that you have installed were detected as potentially incompatible with the latest major version of The Riftbreaker. These mods may cause unknown gameplay issues or crashes. We advise you to disable all of the incompatible game Mods from the list below until they have been updated by their authors.;Wykryto że, niektóre zainstalowane mody są potencjalnie niekompatybilne z najnowszą wersją gry. Modyfikacje te mogą spowodować niepożądane działanie gry lub ją zawiesić. Zalecamy wyłączenie wszystkich niekompatybilnych modów z listy poniżej, dopóki ich autorzy nie wypuszczą aktualizacji.;Некоторые из установленных модов потенциально несовместимы с последней версией The Riftbreaker. Они могут вызвать непредсказуемые ошибки и нестабильную работу игры. Рекомендуется отключить все несовместимые моды из списка ниже до тех пор, пока они не будут обновлены своими авторами.;Certains des mods de jeu que vous avez installé sont susceptibles d’être incompatibles avec la dernière version principale de The Riftbreaker. Ces mods pourraient provoquer des problèmes de gameplay encore inconnus ou des plantages. Nous vous conseillons de désactiver tous les mods de jeu incompatibles affichés dans la liste ci-dessous jusqu’à ce qu’ils ne soient mis à jour par leurs concepteurs.;Einige der installierten Mods scheinen inkompatibel mit der neusten Spielversion von The Riftbreaker zu sein. Diese Mods können zu unerwarteten Gameplay-Problemen und Abstürzen führen. Wir empfehlen, alle inkompatiblen Mods aus der folgenden Liste zu deaktivieren, bis ihre Ersteller sie aktualisiert haben.;Se ha detectado que algunos de los mods instalados pueden ser incompatibles con la última versión de The Riftbreaker. Puede que estos mods causen problemas de jugabilidad o cierren el juego. Te recomendamos desactivar todos los mods incompatibles de la lista de abajo a no ser que sus creadores los hayan actualizado.;Detectamos que alguns Mods que você tem instalados são potencialmente incompatíveis com a versão principal mais recente de The Riftbreaker. Esses Mods podem causar problemas e travamentos inesperados. Aconselhamos desabilitar todos os Mods incompatíveis da lista abaixo até que sejam atualizados pelos autores.;经检测，您安装的某些游戏模组可能与最新主要版本的《银河破裂者》不兼容。这些模组可能会导致未知的游戏问题或崩溃。我们建议您禁用以下列表中所有不兼容的游戏模组，直到它们的作者对其进行更新。;現在インストールが確認されているMODの一部が『The Riftbreaker』の最新大型アップデートに対応していません。これらMODはゲームプレイ上の不具合や強制終了を発生させる可能性があるため、MOD製作者によって更新されるまで、当該の非対応MODは以下のリストからオフにすることを推奨します。;설치한 게임 모드 중 일부가 최신 메이저 버전의 The Riftbreaker와 잠재적으로 호환되지 않을 가능성이 있는 것으로 감지되었습니다. 이러한 모드는 알 수 없는 게임 플레이 버그나 충돌을 일으킬 수 있습니다. 아래 목록에서 호환되지 않는 게임 모드를 전부 비활성화하는 것을 권장합니다. 모드 제작자가 해당 모드를 업데이트할 때까지 기다려주세요.
monster_description/lurkid;The Lurkid is a small, neutral organism endemic to the Fungal Swamp biome. Adaptable to both terrestrial and aquatic environments, the Lurkid thrives in the dense, moisture-laden habitat of the swamps. This creature's diet consists of microscopic flora and fauna, which it locates using its sensitive, antenna-like feelers.;Lurkid to niewielki organizm, występujący na Grzybowych Bagnach. Przystosowany zarówno do środowiska lądowego, jak i wodnego, Lurkid rozwija się w gęstym, pełnym wilgoci środowisku bagien. Dieta tego stworzenia składa się z mikroskopijnej flory i fauny, którą lokalizuje za pomocą czułych, podobnych do anten czułków. ;Выползень — это неагрессивный организм, обитающий в биоме грибной трясины. Способные жить как в наземной, так и в водной среде, выползни лучше всего чувствуют себя в густых и влажных условиях болот. Эти существа питаются микроскопической флорой и фауной, которую находят при помощи чувствительных усиков.;Le Lurkid est un minuscule organisme endémique neutre du biome du Marais fongique. Cette espèce, qui s’adapte aussi bien aux environnements terrestres qu’aquatiques, prospère dans l’habitat dense et chargé en humidité des marais. L’alimentation de la créature consiste en faune et flore microscopiques, qu’il localise à l’aide de ses antennes sensorielles.;Der Lurkid ist ein kleiner neutraler Organismus im Pilzsumpf. Dieses Wesen fühlt sich dank seiner Angepasstheit an das Leben zu Lande und zu Wasser im dichten, feuchten Biom des Sumpfs überaus wohl. Es ernährt sich von mikroskopisch kleiner Flora und Fauna, die es mit seinen empfindlichen, antennenartigen Fühlern aufspürt.;El lurkid es un organismo neutral endémico del bioma de la ciénaga fúngica. Puede adaptarse a entornos tanto acuáticos como terrestres y siente predilección por el hábitat cargado de humedad de las ciénagas. La dieta de esta criatura consiste en flora y fauna microscópicas que localiza utilizando sus extremadamente sensibles antenas.;O Espreitídeo é um organismo pequeno e neutro endêmico ao bioma Pântano Fúngico. Adaptável tanto a ambientes terrestres quanto aquáticos, o Espreitídeo prospera no habitat denso e úmido dos pântanos. A dieta dessa criatura consiste em flora e fauna microscópicas localizadas por suas sensíveis antenas.;潜影虫是伽拉忒亚37号真菌沼泽生态系统特有的中立小型生物。适应于陆地和水生环境，潜影虫在湿润且植被茂密的沼泽地中茁壮成长。这种生物以微观植物和动物为食，通过其敏感的触须状触角寻找食物。;ラーキッドは「真菌の沼」バイオーム全域に生息する中立的な小型生物である。陸上および水中での生活に適応しており、沼地の濃密な高湿度環境を好む。高感度の触角を有し、これを使って主食である微小の動植物を探し出す。;럴키드는 균류 늪지 생물군계에 서식하는 작고 중립적인 생물체입니다. 육지와 수중 환경에 모두 적응할 수 있는 럴키드는 습기가 가득한 울창한 늪지대에서 번성하고 있습니다. 이 동물의 주식은 미세 동식물이며, 안테나처럼 예민한 촉각을 사용해 먹이를 찾습니다.
monster_description/spawner_swamp;At the top of the Spawrot, the acid-spitting maw serves both a defensive and functional role. The maw periodically expels acidic substances to deter predators and potential threats, ensuring the safety of the nesting creatures within. This acidic secretion also contributes to the mound’s decomposition processes, breaking down organic matter to enrich the surrounding soil.;Na szczycie Spawrota znajduje się wypluwająca kwas paszcza, która pełni zarówno funkcję obronną, jak i funkcjonalną. Wydziela ona kwasowe substancje, aby odstraszyć drapieżniki i potencjalne zagrożenia, zapewniając bezpieczeństwo gniazdującym w nim stworzeniom. Ta kwaśna wydzielina przyczynia się również do procesów rozkładu wokół kopca, rozkładając materię organiczną w celu wzbogacenia otaczającej gleby.;Извергающая кислоту пасть в верхней части гнездилища выполняет не только защитную, но и вспомогательную функцию. Пасть периодически выбрасывает кислотные массы для отпугивания хищников, которые могут угрожать гнездящимся внутри существам. Кислотные выделения также способствуют процессам разложения и распада органической материи, обогащая окружающую почву.;Au-dessus du Spawrot, la gueule qui projette de l’acide joue à la fois un rôle défensif et fonctionnel. La gueule projette régulièrement des substances acidiques pour dissuader les prédateurs et les éventuelles menaces, assurant la sécurité des créatures nichées à l’intérieur. Cette sécrétion acidique contribue également aux processus de décomposition du monticule, en faisant tomber de la matière organique pour enrichir le sol environnant.;Das säurespuckende Maul oben am Spawrot dient einerseits der Verteidigung und erfüllt andererseits eine funktionelle Aufgabe. Es stößt regelmäßig saure Substanzen aus, um Fressfeinde und mögliche Bedrohungen fernzuhalten und damit die nistenden Kreaturen im Inneren zu beschützen. Dieses säurehaltige Sekret beschleunigt außerdem die Zersetzungsvorgänge des Hügels und das aufgelöste organische Material reichert die umliegende Erde mit Nährstoffen an.;En lo alto del Pudridero, las fauces escupen ácido, lo que tiene un rol tanto defensivo como funcional. Las sustancias ácidas disuaden a los depredadores y a otras potenciales amenazas, asegurando la seguridad de las criaturas que anidan en él. La secreción de ácido también contribuye a los procesos de descomposición del montículo, descomponiendo la materia orgánica y enriqueciendo el suelo.;No topo da Podrísia, a boca cuspidora de ácido cumpre um papel tanto defensivo quanto funcional. A boca periodicamente expele substâncias ácidas para afastar predadores e potenciais ameaças, garantindo a segurança das criaturas que habitam seu interior. Essa secreção ácida também contribui com o processo de decomposição de matéria orgânica, enriquecendo o solo ao seu redor.;位于酸喉藤顶部的酸液喷射口具有防御和功能性双重作用。这个喷射口定期排放酸性物质，以阻止捕食者和潜在威胁，保证巢内生物的安全。这种酸性分泌物还参与了土堆的分解过程，帮助分解有机物，从而丰富周围的土壤。;スパーロットの最上部には酸を吐く口があり、これが攻撃と自衛の両方の役割を果たす。口からは定期的に強酸性の物質を吐き、捕食者や脅威となる他生物を追い払い、同時に内部で繁殖するクリーチャーの安全を確保している。また、分泌された酸性液には塚における腐敗化プロセスを補助し、有機物質を分解して周囲の土壌を肥やすという側面もある。;스포롯의 위쪽에 있는 산성 물질을 뱉어내는 입은 방어와 기능적 역할을 모두 수행할 수 있습니다. 산성 물질을 주기적으로 분비하여 포식자와 잠재적 위협으로부터 스스로를 보호하고, 안에 둥지를 튼 생물들의 안전을 지킵니다. 이러한 산성 분비물은 또한 언덕 주변의 유기물을 분해하여 주변 토양을 풍요롭게 만듭니다.
monster_description/spawner_swamp_canceroth;Constructed from densely packed organic material intertwined with fungal filaments, the Canceroth Nest provides a secure and nurturing environment for the development of Canceroth offspring. The surface of the nest is coated with a protective, mucous-like secretion. The nest's primary function is to support the growth and maturation of Canceroths.;Zbudowane z gęsto upakowanego materiału organicznego splecionego z włóknami grzybów, gniazdo Cancerothów zapewnia bezpieczne i pielęgnujące środowisko dla rozwoju potomstwa. Powierzchnia gniazda pokryta jest ochronną, śluzowatą wydzieliną. Podstawową funkcją gniazda jest wspieranie wzrostu i dojrzewania Cancerothów.;Гнездо гниленомы, состоящее из плотной органической материи с вкраплениями грибковых волокон, дает надежную защиту своему растущему потомству. Поверхность гнезда покрыта защитными слизистыми выделениями, что также помогает оградить развивающихся внутри существ от опасности.;Conçu à partir d’un fort taux de matière organique et entremêlé de filaments fongiques, le nid des Canceroths fournit un environnement sûr et nutritif pour la croissance des progénitures de l’espèce. La surface du nid est enveloppée d’une sécrétion protectrice muqueuse. La fonction principale du nid est de favoriser la croissance et l’arrivée à maturité des Canceroths.;Das Krebsmoder-Nest bietet dank der Kombination aus dicht komprimiertem organischem Material und Pilzfilamenten eine sichere und nährstoffreiche Umgebung für die Entwicklung des Nachwuchses. Seine Oberfläche ist mit einem schützenden Schleimsekret überzogen. Primär dient das Nest der Aufzucht junger Krebsmoder.;Construido con materia orgánica mezclada con filamentos fúngicos, el nido de cancerodontes proporciona un entorno seguro y perfecto para criar a los vástagos. La superficie del nido está cubierta de una secreción mucosa protectora. La función primaria del nido es ayudar en el crecimiento y la maduración de los cancerodontes.;Construído com materiais orgânicos densamente entrelaçados com filamentos fúngicos, o Ninho de Cancerote fornece um local seguro para o desenvolvimento de filhotes de Cancerotes. A superfície do ninho é revestida com uma secreção protetora semelhante a um muco. A principal função do ninho é apoiar o crescimento e amadurecimento dessa espécie.;毒瘤兽巢穴由密集的有机物质和真菌丝线交织构成，为毒瘤兽后代提供了一个安全而滋养的生长环境。巢穴表面涂有一层保护性的粘液。巢穴的主要功能是支持毒瘤兽的生长和成熟。;高密度に凝縮された有機物質を菌性の糸で縛って作り上げられたキャンサロスの巣は、その幼体が安全に生育できる環境となっている。巣はキャンサロスの発達と成熟を補助するために存在しており、表面は粘液のような保護用分泌液でコーティングされている。;조밀하게 유기 물질과 균류 필라멘트로 얽혀 만들어진 캔서로스 둥지는 캔서로스 새끼들의 발달을 위한 안전하고 양육하기 좋은 환경을 제공합니다. 둥지의 표면은 보호 기능을 하는 점액과도 같은 보호용 분비물로 덮여 있습니다. 둥지의 주요 기능은 캔서로스의 성장과 성숙을 돕는 것입니다.
stream/event/kermon_attack;Kermon attack;Atak Kermonów;Атака кермонов;Attaque de kermon;Kermon-Angriff;Ataque kermo;Ataque de Kermãos;金刚狼攻击;カーモンの攻撃;케르몬 공격
stream/event/kermon_attack_hard;${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack}
stream/event/kermon_attack_very_hard;${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack};${stream/event/kermon_attack}
stream/event/phirian_attack;Phirian attack;Atak Phirianów;Атака фирианов;Attaque de phirian;Phirianer-Angriff;Ataque firiano;Ataque de Firianos;五尾娜迦攻击;フィリアンの攻撃;피리안 공격
stream/event/phirian_attack_hard;${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack}
stream/event/phirian_attack_very_hard;${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack};${stream/event/phirian_attack}
stream/event/shegret_attack_hard;${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack}
stream/event/shegret_attack_very_hard;${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack};${stream/event/shegret_attack}
stream/event/spawn_blooming_air;Blooming air;Zakwit powietrza;Цветущая атмосфера;Air florissant;Hypersprießatmosphäre;Aire floreciente;Ar germinado;超级花期;花粉飽和の大気;피어나는 공기
stream/event/spawn_comet_boss_mudroner_acid;Boss comet – Mudroner;Kometa z bossem - Mudroner;Комета босса — мадронер;Comète de Boss - Bouroneur;Bosskomet – Schlammer;Jefe del cometa: lodonero;Cometa de Chefe - Lamaneiro;首领彗星 – 泥石兽;彗星ボス - ドロドローナー;보스 혜성 - 머드로너
stream/event/spawn_comet_boss_mudroner_cryo;${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid}
stream/event/spawn_comet_boss_mudroner_energy;${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid}
stream/event/spawn_comet_boss_mudroner_fire;${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid};${stream/event/spawn_comet_boss_mudroner_acid}
stream/event/spawn_fireflies;Fireflies;Świetliki;Светлячки;Lucioles;Glühwürmchen;Luciérnagas;Libélulas;萤火虫;ホタル;반딧불
stream/event/spawn_firestorm;Firestorm;Ognista Burza;Огненная буря;Tempête de feu;Feuersturm;Tormenta de fuego;Tempestade Flamejante;烈焰风暴;炎の嵐;화염 폭풍
stream/event/spawn_monsoon;Monsoon;Monsun;Муссон;Mousson;Monsun;Monzón;Monção;季风;季節風;몬순
stream/event/spawn_tornado_acid_near_base;Acid tornado near the base;Kwasowe tornado koło bazy;Кислотный торнадо рядом с базой;Tornade d’acide à proximité de la base;Säuretornado in Basisnähe.;Tornado ácido cerca de la base;Tornado de ácido perto da base;基地附近的酸性龙卷风;基地付近にアシッドトルネード;기지 근처 산성 토네이도 발생
stream/event/spawn_tornado_acid_near_player;Acid tornado near the player;Kwasowe tornado koło gracza;Кислотный торнадо рядом с игроком;Tornade d’acide à proximité du joueur;Säuretornado in Spielernähe.;Tornado ácido cerca del jugador;Tornado de ácido perto do jogador;玩家附近的酸性龙卷风;プレイヤー付近にアシッドトルネード;플레이어 근처 산성 토네이도 발생
stream/event/spawn_tornado_fire_near_base;Fire tornado near the base;Ogniste tornado koło bazy;Огненный торнадо рядом с базой;Tornade de feu à proximité de la base;Feuertornado in Basisnähe.;Tornado de fuego cerca de la base;Tornado de fogo perto da base;基地附近的烈焰龙卷风;基地付近にファイアトルネード;기지 근처 화염 토네이도 발생
stream/event/spawn_tornado_fire_near_player;Fire tornado near the player;Ogniste tornado koło gracza;Огненный торнадо рядом с игроком;Tornade de feu à proximité du joueur;Feuertornado in Spielernähe.;Tornado de fuego cerca del jugador;Tornado de fogo perto do jogador;玩家附近的烈焰龙卷风;プレイヤー付近にファイアトルネード;플레이어 근처 화염 토네이도 발생
