;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/difficulty/reserach_science_factor;Research time factor;Szybkość Badań;Коэффициент скорости исследований;Facteur de temps de recherche;Forschungsvolumenfaktor;Factor de tiempo de investigación;Velocidade de pesquisa;研究时间系数;研究時間係数;연구 시간 인수
gui/menu/main_menu/upsell_game_available;<style="small_menu_content_upsell">The Riftbreaker</style> is available for purchase!;<style="small_menu_content_upsell">The Riftbreaker</style> jest do kupienia!;<style="small_menu_content_upsell">The Riftbreaker</style> уже в продаже!;<style="small_menu_content_upsell">The Riftbreaker</style> est maintenant en vente !;<style="small_menu_content_upsell">The Riftbreaker</style> ist erhältlich!;¡<style="small_menu_content_upsell">The Riftbreaker</style> disponible para comprar!;<style="small_menu_content_upsell">The Riftbreaker</style> está disponível para compra!;<style="small_menu_content_upsell">银河破裂者</style> 现已开放购买！;<style="small_menu_content_upsell">The Riftbreaker</style>をご購入いただけます！;<style="small_menu_content_upsell">The Riftbreaker</style> 판매 중!
gui/menu/multiplayer_lobby/campaign_dlc_toggle_warning;The DLC's can be disabled only when starting a new game session.;Dodatki można wyłączyć tylko przy starcie nowej sesji gry!;Дополнения можно отключить только при начале новой игровой сессии.;Le DLC ne peut être désactivé que lorsque vous commencez une nouvelle session.;Die DLCs können nur beim Start eines neuen Spiels deaktiviert werden.;Los DLC solo se pueden desactivar al empezar una nueva sesión de juego.;DLCs só podem ser desativados ao iniciar um novo jogo.;DLC 仅可在开始新游戏会话时禁用。;DLCは新しいゲームセッションを開始する時にのみ無効にできます。;DLC는 새로운 게임 세션을 시작할 때만 비활성화할 수 있습니다.
gui/menu/multiplayer_lobby/manage_mods;Manage mods;Zarządzaj modami;Управление модами;Gérer les mods;Mods verwalten;Gestionar mods;Gerenciar modificadores;管理模组;MODの管理;모드 관리
gui/menu/multiplayer_server_list/content_compatibility;Content compatibility;Kompatybilność Zawartości;Совместимость контента;Compatibilité de contenu;Kompatibilität von Inhalten;Compatibilidad del contenido;Compatibilidade de conteúdo;内容兼容性;コンテンツの互換性;콘텐츠 호환성
gui/menu/multiplayer_server_list/join_with_link;Join with link;Dołącz przez link;Присоединиться по ссылке;Rejoindre avec le lien;Über den Link beitreten;Unirse mediante enlace;Entrar com link;通过链接加入;リンクで参加;링크로 참가
gui/menu/multiplayer/options/join_link;Join link:;Link do dołączenia:;Ссылка для подключения:;Lien de connexion :;Beitrittslink:;Enlace de unión:;Link para entrar:;加入链接：;参加リンク：;참가 링크:
gui/menu/multiplayer/options/port_forwarding_warning;Steam Datagram Relay is unavailable. Port: ${server_port} needs to be open to allow other players to join the server.;Steam Datagram Relay jest niedostępny. Otwórz port ${server_port}, aby umożliwić innym połączenie z Tobą.;Нет доступа к ретранслятору Steam Datagram. Порт ${server_port} должен быть открыт, чтобы другие игроки могли подключиться к серверу.;Le Steam Datagram Relay est indisponible. Le port : ${server_port} doit être ouvert pour permettre aux autres joueurs de rejoindre le serveur.;Steam Datagram Relay ist nicht zugänglich. Port: ${server_port} muss geöffnet sein, damit andere Spieler dem Server beitreten können.;Steam Datagram Relay no está disponible. El puerto ${server_port} debe estar abierto para permitir que otras personas se unan al servidor.;Steam Datagram Relay indisponível. Abra a porta: ${server_port} para permitir que outros jogadores acessem o servidor.;Steam 数据报中继不可用。需要开放端口：${server_port} 以允许其他玩家加入服务器。;Steamデータグラムリレーが利用できません。他のプレイヤーがサーバーに参加するには、ポート: ${server_port} を開放する必要があります。;Steam 데이터그램 릴레이를 사용할 수 없습니다. 포트: ${server_port}(이)가 공개된 상태여야 다른 플레이어의 서버 참여가 허용됩니다.
gui/menu/planetary_scanner/abandon_megastructure;You cannot abandon this outpost because it houses a Megastructure. You have to manually sell the Megastructure and then you will be able to abandon it.;Nie możesz opuścić tego obszaru, ponieważ znajduje się na nim Megastruktura. Sprzedaj ją ręcznie, aby móc opuścić ten obszar na zawsze.;Нельзя покинуть этот аванпост, так как на нем находится мегаструктура. Необходимо вручную продать мегаструктуру, после чего аванпост можно будет покинуть.;Vous ne pouvez pas abandonner cet avant-poste parce qu’il abrite une mégastructure. Vous devez vendre manuellement la mégastructure pour pouvoir l’abandonner.;Du kannst diesen Außenposten nicht verlassen, da er eine Megastruktur beherbergt. Du musst die Megastruktur manuell verkaufen, bevor du den Außenposten verlassen kannst.;No puedes abandonar el puesto remoto porque alberga una megaestructura. Para abandonarlo, primero debes vender la megaestructura de forma manual.;Não é possível abandonar este posto avançado enquanto ele contém uma Megaestrutura. Venda-a manualmente para poder abandoná-lo.;你无法放弃此前哨站，因为它包含一座巨型结构。你需要手动拆除该巨型结构，之后方可放弃前哨站。;この前哨基地にはメガストラクチャーが存在するため、放棄できません。メガストラクチャーを売却することで、放棄が可能になります。;이 전초기지에 메가구조물이 있어 폐기할 수 없습니다. 직접 메가구조물을 팔아야 폐기할 수 있게 됩니다.
gui/menu/research/description/prime_rift_station;This is the ultimate Rift Station building that can send a Riftbreaker to any location within the galaxy. ;Najpotężniejsza Stacja Rift, umożliwiająca wysłanie Riftbreakera w dowolny zakątek galaktyki.;Это самая продвинутая рифт-станция, способная отправить рифтбрейкера в любую точку галактики. ;Il s’agit de l’ultime station dimensionnelle qui peut envoyer un Riftbreaker dans n’importe quel endroit de la galaxie. ;Dies ist die ultimative Riftstation, mit der ein Riftbreaker an jeden Ort in der Galaxie geschickt werden kann. ;Esta es la estación de grietas definitiva, capaz de enviar un Riftbreaker a cualquier lugar de la galaxia. ;Trata-se da Estação de Fenda definitiva, capaz de enviar um Salta-Fendas a qualquer lugar da galáxia. ;这是终极的裂缝传送站建筑，能将一名破裂者传送到银河系内的任意地点。;これは、銀河内の任意の場所へリフトブレーカーを送ることができる究極のリフトステーション施設です。 ;이 궁극의 리프트 스테이션 건물은 리프트브레이커를 은하계 내 어느 곳이든 보낼 수 있습니다. 
gui/menu/research/name/prime_rift_station;Prime Rift Station;Główna Stacja Rift;Главная рифт-станция;Station dimensionnelle primaire;Primäre Riftstation;Estación de grietas suprema;Estação de Fenda Primária;主裂缝传送站;プライムリフトステーション;프라임 리프트 스테이션
gui/popup/join_with_link;Paste a "Join Link" that you received from a Host or type in a direct server IP address.;Wklej tutaj link otrzymany od gracza hostującego grę, lub wpisz ręcznie adres IP.;Вставьте ссылку для подключения, полученную от создателя игры, или введите IP-адрес сервера.;Collez un « lien de connexion » reçu de la part d’un hôte ou saisissez une adresse IP directement dans un serveur.;Gib den „Beitrittslink“ ein, den du vom Host erhalten hast, oder gib die direkte IP-Adresse des Servers ein.;Pega un «Enlace de unión» que hayas recibido de un anfitrión o escribe directamente la dirección IP del servidor.;Cole o "Link de Entrada" recebido de um anfitrião ou digite o endereço IP do servidor.;粘贴你从主机处收到的“加入链接”，或输入服务器 IP 地址。;ホストから受け取った「参加リンク」を貼り付けるか、サーバーのIPアドレスを直接入力してください。;호스트에게서 받은 "참가 링크"를 붙여넣거나 다이렉트 서버 IP 주소를 입력하세요.
gui/popup/server_leaving_lobby;Leaving this screen will shutdown the lobby and disconnect other connected players. Are you sure?;Wyjście z tego ekranu zamknie lobby I rozłączy pozostałych graczy. Czy na pewno?;При выходе с этого экрана лобби будет закрыто, а все вошедшие игроки отключены. Продолжить?;Quitter cet écran fermera le salon et déconnectera tous les autres joueurs connectés. Voulez-vous continuer ?;Wenn du dieses Fenster schließt, wird auch die Lobby geschlossen und alle anderen Spieler werden entfernt. Möchtest du wirklich fortfahren?;Si sales de esta pantalla, se cerrará la sala y se desconectará a las demás personas conectadas. ¿Seguro que quieres hacerlo?;Deixar esta tela irá encerrar a sala e desconectar outros jogadores conectados. Continuar?;离开此界面将关闭大厅并断开其他已连接玩家。是否确认？;この画面を離れるとロビーを終了し、他のプレイヤーとの接続が切断されます。本当に実行しますか？;이 화면에서 나가면 로비가 닫혀 다른 연결된 플레이어와의 연결이 해제됩니다. 계속 진행하시겠습니까?
gui/popup/server_lobby_dlc_mismatch;DLC Mismatch! The server is running with different DLC than this user. \n\n Server DLC: <style="equipment_blue_22">${server_content}</style> \nUser's DLC: <style="equipment_blue_22">${client_content}</style>;Serwer działa z DLC, którego ten użytkownik nie posiada. \n\n DLC Serwera: <style="popups_content_blue">${server_content}</style>  \nDLC użytkownika: <style="popups_content_blue">${client_content}</style>;Несоответствие дополнений! На сервере используется другое дополнение. \n\n Дополнение сервера: <style="equipment_blue_22">${server_content}</style> \nДополнение пользователя: <style="equipment_blue_22">${client_content}</style>;DLC incohérents ! Ce serveur utilise un DLC différent de celui de cet utilisateur. \n\n DLC du serveur : <style="equipment_blue_22">${server_content}</style> \nDLC de l’utilisateur : <style="equipment_blue_22">${client_content}</style>;Verschiedene DLCs! Der Server verwendet einen anderen DLC als dieser Benutzer. \n\n Server-DLC: <style="equipment_blue_22">${server_content}</style> \nBenutzer-DLC: <style="equipment_blue_22">${client_content}</style>;¡Los DLC no coinciden! El servidor utiliza un DLC distinto al de esta persona. \n\n DLC del servidor: <style="equipment_blue_22">${server_content}</style> \nDLC de la persona: <style="equipment_blue_22">${client_content}</style>;Incompatibilidade de DLC! O servidor está rodando com um DLC diferente deste usuário. \n\n DLC do Servidor: <style="equipment_blue_22">${server_content}</style> \nDLC do usuário: <style="equipment_blue_22">${client_content}</style>;DLC 不匹配！服务器运行的 DLC 与此用户不同。 \n\n 服务器 DLC：<style="equipment_blue_22">${server_content}</style> \n用户的 DLC：<style="equipment_blue_22">${client_content}</style>;DLCの不一致！サーバーとユーザーのDLCが異なります。\n\nサーバーのDLC：<style="equipment_blue_22">${server_content}</style> \n ユーザーのDLC：<style="equipment_blue_22">${client_content}</style>;DLC 불일치가 발생했습니다! 서버가 해당 사용자와 다른 DLC로 가동되고 있습니다. \n\n 서버 DLC: <style="equipment_blue_22">${server_content}</style> \n사용자의 DLC: <style="equipment_blue_22">${client_content}</style>
gui/popup/server_lobby_mods_mismatch;Mods Mismatch! The server is running with different Mods than this user. \n\n Server mods: <style="equipment_blue_22">${server_content}</style> \nUser's mods: <style="equipment_blue_22">${client_content}</style>;Serwer działa z innym zestawem modyfikacji niż ten użytkownik. \n\n Modyfikacje serwera: <style="popups_content_blue">${server_content}</style>  \nModyfikacje użytkownika: <style="popups_content_blue">${client_content}</style>;Несоответствие модов! На сервере используются другие моды. \n\n Моды сервера: <style="equipment_blue_22">${server_content}</style> \nМоды пользователя: <style="equipment_blue_22">${client_content}</style>;Mods incohérents ! Ce serveur utilise un mod différent de celui de cet utilisateur : \n\n Mods du serveur : <style="equipment_blue_22">${server_content}</style> \nMods de l’utilisateur : <style="equipment_blue_22">${client_content}</style>;Verschiedene Mods! Der Server verwendet andere Mods als dieser Benutzer. \n\n Server-Mods: <style="equipment_blue_22">${server_content}</style> \nBenutzer-Mods: <style="equipment_blue_22">${client_content}</style>;¡Los mods no coinciden! El servidor utiliza un mods distintos al de esta persona. \n\n Mods del servidor: <style="equipment_blue_22">${server_content}</style> \nMods de la persona: <style="equipment_blue_22">${client_content}</style>;Incompatibilidade de mods! O servidor está rodando com mods diferentes deste usuário. \n\n Mods do Servidor: <style="equipment_blue_22">${server_content}</style> \nMods do usuário: <style="equipment_blue_22">${client_content}</style>;模组不匹配！服务器运行的模组与此用户不同。 \n\n 服务器模组：<style="equipment_blue_22">${server_content}</style> \n用户的模组：<style="equipment_blue_22">${client_content}</style>;MODの不一致！サーバーとユーザーのMODが異なります。\n\nサーバーのMOD：<style="equipment_blue_22">${server_content}</style> \n ユーザーのMOD：<style="equipment_blue_22">${client_content}</style>;모드 불일치가 발생했습니다! 서버가 해당 사용자와 다른 모드로 가동되고 있습니다. \n\n 서버 모드: <style="equipment_blue_22">${server_content}</style> \n사용자의 모드: <style="equipment_blue_22">${client_content}</style>
resource_name/geothermal;Geothermal vent;Uskok Geotermiczny;Геотермальный источник;Cheminée géothermique;Geothermaler Schlot;Fuente geotérmica;Fonte geotérmica;地热能口;地熱エネルギー;지열 분출공
