;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/description/bio_tech_lvl5;A set of upgrades increasing the efficiency of the Bio lab Research. It also increases the Bio lab building limit to 5.;
gui/hud/building_name/bio_lab;Bio - lab;
gui/hud/building_description/bio_lab;a modified lad for faster research;
gui/hud/building_description/bio_lab_upgrade;for even more faster research then get this upgrade;
gui/hud/building_name/shield_generator_plasma;Plasma Shield Generator;
gui/hud/building_description/shield_generator_plasma;Special shield generator capable of covering more area at cost of shield power uses plasmoid liquid to function.;
gui/hud/building_name/shield_generator_cryogenic;Cryo Shield Generator;
gui/hud/building_description/shield_generator_cryogenic;Special shield generator capable of covering more area at cost of shield power uses plasmoid liquid to function.;
gui/hud/building_name/shield_generator_flame;Flame Shield Generator;
gui/hud/building_description/shield_generator_flame;Special shield generator capable of covering more area at cost of shield power uses plasmoid liquid to function.;
gui/hud/building_name/shield_generator_acidic;Acidic Shield Generator;
gui/hud/building_description/shield_generator_acidic;Special shield generator capable of covering more area at cost of shield power uses plasmoid liquid to function.;
gui/hud/building_name/shield_generator_cosmo;Cosmic Shield Generator;
gui/hud/building_description/shield_generator_cosmo;Cosmic shield generator capable of covering more area at cost of shield power uses plasmoid liquid to function.;
gui/hud/building_name/tower_cosmic_railgun;Cosmic Railgun Tower;
gui/hud/building_description/tower_cosmic_railgun;from with deeper research the plantary found this rare ore in this unknown place and more research we found out its cosmonite witch allow us the use of cosmo plasma;
gui/hud/building_name/tower_abyss_influence;Abyss Influence Tower;
gui/hud/building_description/tower_abyss_influence;from with deeper research the plantary found this rare ore in this unknown place and more research we found out its cosmonite witch allow us the use of cosmo plasma;
gui/hud/building_name/tower_cryogenic_spitter;Cryogenic Spitter Tower;
gui/hud/building_description/tower_cryogenic_spitter;the cryogenic spitter tower is a modified version of the spitter weapon designed specifically for towers.;
gui/hud/building_name/tower_cosmic_spitter;Cosmic Spitter Tower;
gui/hud/building_description/tower_cosmic_spitter;the cosmic spitter tower is a modified version of the spitter weapon designed specifically for towers.;
gui/hud/building_name/tower_flame_spitter;Flame Spitter Tower;
gui/hud/building_description/tower_flame_spitter;the flame spitter tower is a modified version of the spitter weapon designed specifically for towers.;
gui/hud/building_name/tower_plasmoid_spitter;Plasmoid Spitter Tower.;
gui/hud/building_description/tower_plasmoid_spitter;the plasmoid spitter tower is a modified version of the spitter weapon designed specifically for towers.;
gui/menu/research/name/elemental_ammo_refinery_lvl_1;Elemental Ammo Refinery - Level 1;
gui/menu/research/name/elemental_ammo_refinery_lvl_2;Elemental Ammo Refinery - Level 2;
gui/menu/research/name/elemental_ammo_refinery_lvl_3;Elemental Ammo Refinery - Level 3;
gui/menu/research/description/elemental_ammo_refinery_lvl_1;Creats ammo cells using plasma fusion so make sure to have the required tech to generate ammo also you will need ammo storage ;
gui/menu/research/description/elemental_ammo_refinery_lvl_2;information unkown ;
gui/menu/research/description/elemental_ammo_refinery_lvl_3;information unkown ;
gui/menu/research/name/towers_elemental_spitter_lvl1;Elemental Spitter Tower - Level 1;
gui/menu/research/name/towers_elemental_spitter_lvl2;Elemental Spitter Tower - Level 2;
gui/menu/research/name/towers_elemental_spitter_lvl3;Elemental Spitter Tower - Level 3;
gui/menu/research/description/towers_elemental_spitter_lvl1;information unkown ;
gui/menu/research/description/towers_elemental_spitter_lvl2;information unkown ;
gui/menu/research/description/towers_elemental_spitter_lvl3;information unkown ;
gui/menu/research/name/towers_elemental_plasma_lvl_1;Elemental Plasma Tower - Level 1;
gui/menu/research/name/towers_elemental_plasma_lvl_2;Elemental Plasma Tower - Level 2;
gui/menu/research/name/towers_elemental_plasma_lvl_3;Elemental Plasma Tower - Level 3;
gui/menu/research/description/towers_elemental_plasma_lvl_1;information unkown ;
gui/menu/research/description/towers_elemental_plasma_lvl_2;information unkown ;
gui/menu/research/description/towers_elemental_plasma_lvl_3;information unkown ;
gui/menu/research/name/towers_elemental_artillery_lvl_1;Elemental Artillery Tower - Level 1;
gui/menu/research/name/towers_elemental_artillery_lvl_2;Elemental Artillery Tower - Level 2;
gui/menu/research/name/towers_elemental_artillery_lvl_3;Elemental Artillery Tower - Level 3;
gui/menu/research/description/towers_elemental_artillery_lvl_1;information unkown ;
gui/menu/research/description/towers_elemental_artillery_lvl_2;information unkown ;
gui/menu/research/description/towers_elemental_artillery_lvl_3;information unkown ;
gui/menu/research/name/towers_elemental_shotgun_lvl_1;Elemental Shotgun Tower - Level 1;
gui/menu/research/name/towers_elemental_shotgun_lvl_2;Elemental Shotgun Tower - Level 2;
gui/menu/research/name/towers_elemental_shotgun_lvl_3;Elemental Shotgun Tower - Level 3;
gui/menu/research/description/towers_elemental_shotgun_lvl_1;information unkown ;
gui/menu/research/description/towers_elemental_shotgun_lvl_2;information unkown ;
gui/menu/research/description/towers_elemental_shotgun_lvl_3;information unkown ;
gui/menu/research/name/towers_elemental_rockets_lvl_1;Elemental Rockets Tower - Level 1;
gui/menu/research/name/towers_elemental_rockets_lvl_2;Elemental Rockets Tower - Level 2;
gui/menu/research/name/towers_elemental_rockets_lvl_3;Elemental Rockets Tower - Level 3;
gui/menu/research/description/towers_elemental_rockets_lvl_1;information unkown ;
gui/menu/research/description/towers_elemental_rockets_lvl_2;information unkown ;
gui/menu/research/description/towers_elemental_rockets_lvl_3;information unkown ;
gui/menu/research/name/towers_elemental_mortors_lvl_1;Elemental Mortors Tower - Level 1;
gui/menu/research/name/towers_elemental_mortors_lvl_2;Elemental Mortors Tower - Level 2;
gui/menu/research/name/towers_elemental_mortors_lvl_3;Elemental Mortors Tower - Level 3;
gui/menu/research/description/towers_elemental_mortors_lvl_1;information unkown ;
gui/menu/research/description/towers_elemental_mortors_lvl_2;information unkown ;
gui/menu/research/description/towers_elemental_mortors_lvl_3;information unkown ;
gui/menu/research/name/towers_elemental_minigun_lvl_1;Elemental Minigun Tower - Level 1;
gui/menu/research/name/towers_elemental_minigun_lvl_2;Elemental Minigun Tower - Level 2;
gui/menu/research/name/towers_elemental_minigun_lvl_3;Elemental Minigun Tower - Level 3;
gui/menu/research/description/towers_elemental_minigun_lvl_1;information unkown ;
gui/menu/research/description/towers_elemental_minigun_lvl_2;information unkown ;
gui/menu/research/description/towers_elemental_minigun_lvl_3;information unkown ;
gui/menu/research/name/towers_abyss_influence_lvl1;Abyss Influence Tower - Level 1;
gui/menu/research/name/towers_abyss_influence_lvl2;Abyss Influence Tower - Level 2;
gui/menu/research/name/towers_abyss_influence_lvl3;Abyss Influence Tower - Level 3;
gui/menu/research/description/towers_abyss_influence_lvl_1;information unkown ;
gui/menu/research/description/towers_abyss_influence_lvl_2;information unkown ;
gui/menu/research/description/towers_abyss_influence_lvl_3;information unkown ;
gui/menu/research/name/towers_cosmic_railgun_lvl_1;Elemental Railgun Tower - Level 1;
gui/menu/research/name/towers_cosmic_railgun_lvl_2;Elemental Railgun Tower - Level 2;
gui/menu/research/name/towers_cosmic_railgun_lvl_3;Elemental Railgun Tower - Level 3;
gui/menu/research/description/towers_cosmic_railgun_lvl_1;information unkown ;
gui/menu/research/description/towers_cosmic_railgun_lvl_2;information unkown ;
gui/menu/research/description/towers_cosmic_railgun_lvl_3;information unkown ;
gui/menu/research/name/towers_elemental_laser_lvl_1;Elemental Laser Tower - Level 1;
gui/menu/research/name/towers_elemental_laser_lvl_2;Elemental Laser Tower - Level 2;
gui/menu/research/name/towers_elemental_laser_lvl_3;Elemental Laser Tower - Level 3;
gui/menu/research/description/towers_elemental_laser_lvl_1;information unkown ;
gui/menu/research/description/towers_elemental_laser_lvl_2;information unkown ;
gui/menu/research/description/towers_elemental_laser_lvl_3;information unkown ;
gui/hud/building_name/biome_enhacement_generator;Biome Enhacement Generator;
gui/hud/building_description/biome_enhacement_generator;this tech has bin developed to help in vegetation growth as some like the build massives farm so this tech is for you as it will help grow veg faster ;
gui/menu/research/name/biome_enhacement_generator_lvl_1;Biome Enhacement Generator - Level 1;
gui/menu/research/name/biome_enhacement_generator_lvl_2;Biome Enhacement Generator - Level 2;
gui/menu/research/name/biome_enhacement_generator_lvl_3;Biome Enhacement Generator - Level 3;
gui/menu/research/description/biome_enhacement_generator_lvl_1;this building helps vegetation grow faster efficiency is about 50% ;
gui/menu/research/description/biome_enhacement_generator_lvl_2;with this lvl of upgrade you will be at 75% ;
gui/menu/research/description/biome_enhacement_generator_lvl_3;dont stop know keep going with this updgrade you will unlock the full 100% efficiency ;
gui/hud/building_name/tower_gravity_portal;Gravity Portal Tower;
gui/hud/building_description/tower_gravity_portal;from with deeper research the plantary found this rare ore in this unknown place and more research we found out its cosmonite witch allow us the use of cosmo plasma;
gui/menu/research/name/towers_gravity_portal_lvl_1;Gravity Portal Tower - Level 1;
gui/menu/research/name/towers_gravity_portal_lvl_2;Gravity Portal Tower - Level 2;
gui/menu/research/name/towers_gravity_portal_lvl_3;Gravity Portal Tower - Level 3;
gui/menu/research/description/towers_gravity_portal_lvl_1;information unkown ;
gui/menu/research/description/towers_gravity_portal_lvl_2;information unkown ;
gui/menu/research/description/towers_gravity_portal_lvl_3;information unkown ;
gui/hud/building_name/tower_cosmo_plasma;Cosmo Plasma Tower;
gui/hud/building_description/tower_cosmo_plasma;from with deeper research the plantary found this rare ore in this unknown place and more research we found out its cosmonite witch allow us the use of cosmo plasma;
gui/hud/building_name/tower_acidic_artillery;Acidic Artillery Tower;
gui/hud/building_description/tower_acidic_artillery;a modified artillery tower with modified ammo injected acidic projectiles;
gui/hud/building_name/tower_cosmic_artillery;Cosmic Artillery Tower;
gui/hud/building_description/tower_cosmic_artillery;a modified artillery tower with modified ammo injected cosmic projectiles;
gui/hud/building_name/tower_cryogenic_artillery;Cryogenic Artillery Tower;
gui/hud/building_description/tower_cryogenic_artillery;A defensive tower that shoots highly effective cryogenic projectiles at long range.that deals cryogenic damange.;
gui/hud/building_name/tower_cryogenic_minigun;Cryo Minigun Tower;
gui/hud/building_description/tower_cryogenic_minigun;deeper research into galatea 37 scientest found some old schematic for cryogenic miniguns turrets so our tech enhanced it for turret us.;
gui/hud/building_name/tower_acidic_minigun;Acidic Minigun Tower;
gui/hud/building_description/tower_acidic_minigun;deeper research into galatea 37 scientest found some old schematic for acidic miniguns turrets so our tech enhanced it for turret us.;
gui/hud/building_name/tower_plasmoid_artillery;Plasmoid Artillery Tower;
gui/hud/building_description/tower_plasmoid_artillery;A defensive empart stun tower.;
gui/hud/building_name/tower_plasmoid_shotgun;Plasmoid Shotgun Tower;
gui/hud/building_description/tower_plasmoid_photgun;deeper research into the shotgun always us off shotgun-turrets;
gui/hud/building_name/tower_cryogenic_shotgun;Cryo Shotgun Tower;
gui/hud/building_description/tower_cryogenic_shotgun;;
gui/hud/building_name/tower_acidic_shotgun;Acid Shotgun Tower;
gui/hud/building_description/tower_acidic_shotgun;;
gui/hud/building_name/tower_flame_shotgun;Fire Shotgun Tower;
gui/hud/building_description/tower_flame_shotgun;;
gui/hud/building_name/tower_cosmic_shotgun;Cosmic Shotgun Tower;
gui/hud/building_description/tower_flame_shotgun;;
gui/hud/building_name/tower_plasmoid;Plasmoid Tower;
gui/hud/building_description/tower_plasmoid;deeper research into galatea 37 and the study off plasmoid we were able to replecate the projectiles to be modified for plasma turrets.;
gui/hud/building_name/tower_cosmic_motar;Cosmic Mortar Tower;
gui/hud/building_description/tower_cosmic_motar;a modified rocket tower with modified ammo injected cosmic projectiles;
gui/hud/building_name/tower_flame_mortar;Flame Mortar;
gui/hud/building_description/tower_flame_mortar;mor-tars modified rocket launcher that fire modified magmatic cells;
gui/hud/building_name/tower_acidic_mortar;Acidic Mortar;
gui/hud/building_description/tower_acidic_mortar;mor-tars modified rocket launcher that fire modified acidic cells;
gui/hud/building_name/tower_cryogenic_minigun;Cryo Minigun Tower;
gui/hud/building_description/tower_cryogenic_minigun;This tower shoots highly concentrated pieces of magma at high speeds, which burn down the surrounding area.;
gui/hud/building_name/tower_cosmo_minigun;Cosmo Minigun Tower;
gui/hud/building_description/tower_cosmo_minigun;deeper research into galatea 37 scientest found some old schematic for acidic miniguns turrets so our tech enhanced it for turret us.;
gui/hud/building_name/tower_minigun_magma;Magma Minigun Tower;
gui/hud/building_description/tower_minigun_magma;This tower shoots highly concentrated pieces of magma at high speeds, which burn down the surrounding area.;
gui/hud/building_name/tower_cryogenic_plasma;Cryo Plasma;
gui/hud/building_description/tower_cryogenic_plasma;deeper research into galatea 37 and the study off magmoth we were able to replecate the projectiles to be modified plasma turrets;
gui/hud/building_name/tower_flame_plasma;Flame Plasma;
gui/hud/building_description/tower_flame_plasma;deeper research into galatea 37 and the study off magmoth we were able to replecate the projectiles to be modified plasma turrets;
gui/hud/building_name/tower_heavy_acidic_blaster;Heavy Acidic Blaster;
gui/hud/building_description/tower_heavy_acidic_blaster;a modified heavy tower with modified ammo injected acid projectiles;
gui/hud/building_name/tower_heavy_cryogenic_blaster;Heavy Cryogenic Blaster;
gui/hud/building_description/tower_heavy_cryogenic_blaster;a modified heavy tower with modified ammo injected cryo projectiles;
gui/hud/building_name/tower_heavy_cosmic_blaster;Heavy Cosmic Blaster;
gui/hud/building_description/tower_heavy_cosmic_blaster;a modified heavy tower with modified ammo injected cosmic projectiles;
gui/hud/building_name/tower_heavy_flame_blaster;Heavy Flame Blaster;
gui/hud/building_description/tower_heavy_flame_blaster;a modified heavy tower with modified ammo injected fire projectiles;
gui/hud/building_name/tower_heavy_plasmoid_blaster;Heavy Plasmoid Blaster;
gui/hud/building_description/tower_heavy_plasmoid_blaster;a modified heavy tower with modified ammo injected plasmoid projectiles;
gui/hud/building_name/tower_cosmic_heavy_artillery;Cosmic Heavy Artillery Tower;
gui/hud/building_description/tower_cosmic_heavy_artillery;a modified artillery tower with modified ammo injected gravity grenade projectiles;
gui/menu/research/name/tower_cosmic_heavy_artillery_lvl_1;Cosmic Heavy Artillery Tower - Level 1;
gui/menu/research/name/tower_cosmic_heavy_artillery_lvl_2;Cosmic Heavy Artillery Tower - Level 2;
gui/menu/research/name/tower_cosmic_heavy_artillery_lvl_3;Cosmic Heavy Artillery Tower - Level 3;
gui/menu/research/description/tower_cosmic_heavy_artillery_lvl_1;long rang heavy cosmic artillery;
gui/menu/research/description/tower_cosmic_heavy_artillery_lvl_2;slitghy improved fire rate and damage out put.;
gui/menu/research/description/tower_cosmic_heavy_artillery_lvl_3;upgraded singularity pulse for more impact and dmg;
gui/hud/building_name/tower_acidic_heavy_artillery;Acidic Heavy Artillery Tower;
gui/hud/building_description/tower_acidic_heavy_artillery;a modified artillery tower with modified ammo injected acidic projectiles;
gui/menu/research/name/tower_acidic_heavy_artillery_lvl_1;Acidic Heavy Artillery Tower - Level 1;
gui/menu/research/name/tower_acidic_heavy_artillery_lvl_2;Acidic Heavy Artillery Tower - Level 2;
gui/menu/research/name/tower_acidic_heavy_artillery_lvl_3;Acidic Heavy Artillery Tower - Level 3;
gui/menu/research/description/tower_acidic_heavy_artillery_lvl_1;long rang heavy acidic artillery;
gui/menu/research/description/tower_acidic_heavy_artillery_lvl_2;slitghy improved fire rate and damage out put.;
gui/menu/research/description/tower_acidic_heavy_artillery_lvl_3;upgraded singularity pulse for more impact and dmg;
gui/hud/building_name/tower_cryogenic_heavy_artillery;Cryo Heavy Artillery Tower;
gui/hud/building_description/tower_cryogenic_heavy_artillery;a modified artillery tower with modified ammo injected cryogenic projectiles;
gui/menu/research/name/tower_cryogenic_heavy_artillery_lvl_1;Cryo Heavy Artillery Tower - Level 1;
gui/menu/research/name/tower_cryogenic_heavy_artillery_lvl_2;Cryo Heavy Artillery Tower - Level 2;
gui/menu/research/name/tower_cryogenic_heavy_artillery_lvl_3;Cryo Heavy Artillery Tower - Level 3;
gui/menu/research/description/tower_cryogenic_heavy_artillery_lvl_1;long rang heavy cryogenic artillery;
gui/menu/research/description/tower_cryogenic_heavy_artillery_lvl_2;slitghy improved fire rate and damage out put.;
gui/menu/research/description/tower_cryogenic_heavy_artillery_lvl_3;upgraded singularity pulse for more impact and dmg;
gui/hud/building_name/tower_flame_heavy_artillery;Flame Heavy Artillery Tower;
gui/hud/building_description/tower_flame_heavy_artillery;a modified artillery tower with modified ammo injected fire projectiles;
gui/menu/research/name/tower_flame_heavy_artillery_lvl_1;Flame Heavy Artillery Tower - Level 1;
gui/menu/research/name/tower_flame_heavy_artillery_lvl_2;Flame Heavy Artillery Tower - Level 2;
gui/menu/research/name/tower_flame_heavy_artillery_lvl_3;Flame Heavy Artillery Tower - Level 3;
gui/menu/research/description/tower_flame_heavy_artillery_lvl_1;long rang heavy fire artillery;
gui/menu/research/description/tower_flame_heavy_artillery_lvl_2;slitghy improved fire rate and damage out put.;
gui/menu/research/description/tower_flame_heavy_artillery_lvl_3;upgraded singularity pulse for more impact and dmg;
gui/hud/building_name/tower_heavy_plasmoid_blaster;Heavy Plasma Tower;
gui/hud/building_description/tower_heavy_plasmoid_blaster;A defensive tower that shoots highly effective heavy plasmoid projectiles;
gui/menu/research/name/towers_heavy_plasmoid_blaster_lvl_1;Heavy Plasma Tower - Level 1;
gui/menu/research/name/towers_heavy_plasmoid_blaster_lvl_2;Heavy Plasma Tower - Level 2;
gui/menu/research/name/towers_heavy_plasmoid_blaster_lvl_3;Heavy Plasma Tower - Level 3;
gui/menu/research/description/towers_heavy_plasmoid_blaster_lvl_1;Heavy plasmoid tower that shot plasmoid projectiles.;
gui/menu/research/description/towers_heavy_plasmoid_blaster_lvl_2;slitghy improved fire rate and damage out put.;
gui/menu/research/description/towers_heavy_plasmoid_blaster_lvl_3;imrpoved form of lvl 2 just a slight increase;
gui/hud/building_name/tower_flame_artillery;Flame Artillery Tower;
gui/hud/building_description/tower_flame_artillery;A defensive tower that shoots highly effective flame projectiles at long range.made for take out loads off creatures at once with its physical damange;
gui/hud/building_name/tower_plasma_mortar;Plasma Mortar Tower;
gui/hud/building_description/tower_plasma_mortar;modified rocket witch is able to fire this weird plasma substance ;
gui/hud/building_name/tower_x_sniper;X Sniper Tower;
gui/hud/building_description/tower_x_sniper;modified sniper to fit the base off a turret .;
gui/menu/research/name/tower_x_sniper_lvl_1;X Sniper Tower - Level 1;
gui/menu/research/name/tower_x_sniper_lvl_2;X Sniper Tower - Level 2;
gui/menu/research/name/tower_x_sniper_lvl_3;X Sniper Tower - Level 3;
gui/menu/research/description/tower_x_sniper_lvl_1;special materials mixed together to strengthen the barrel for that presice shot;
gui/menu/research/description/tower_x_sniper_lvl_2;improved scope and lighter barral to give a bit more power and ;
gui/menu/research/description/tower_x_sniper_lvl_3;special materials to strengthen the structure and lighter pin better recoil imporved fire rate ;
gui/hud/building_name/tower_acidic_plasma;Acidic Plasma;
gui/hud/building_description/tower_acidic_plasma;deeper research into galatea 37 and the study off corrosive gun we were able to replecate the projectiles to be modified for plasma turrets.;
gui/hud/building_name/tower_acidic_rocket_swarm;Acidic Rocket Tower;
gui/hud/building_description/tower_acidic_rocket_swarm;This tower is a further development of an experimental weapon and fires small rockets in quick succession like its original.;
gui/hud/building_name/tower_cryogenic_rocket_swarm;Cryogenic Rocket Tower;
gui/hud/building_description/tower_cryogenic_rocket_swarm;This tower is a further development of an experimental weapon and fires small rockets in quick succession like its original.;
gui/hud/building_name/tower_cosmic_rocket_swarm;Cosmic Rocket Tower;
gui/hud/building_description/tower_cosmic_rocket_swarm;This tower is a further development of an experimental weapon and fires small rockets in quick succession like its original.;
gui/hud/building_name/tower_flame_rocket_swarm;Flame Rocket Tower;
gui/hud/building_description/tower_flame_rocket_swarm;This tower is a further development of an experimental weapon and fires small rockets in quick succession like its original.;
gui/hud/building_name/tower_plasmoid_rocket_swarm;Plasmoid Rocket Tower;
gui/hud/building_description/tower_plasmoid_rocket_swarm;This tower is a further development of an experimental weapon and fires small rockets in quick succession like its original.;
gui/menu/research/name/towers_rockets_swarm_lvl_1;Elemental Rocket Tower - Level 1;
gui/menu/research/name/towers_rockets_swarm_lvl_2;Elemental Rocket Tower - Level 2;
gui/menu/research/name/towers_rockets_swarm_lvl_3;Elemental Rocket Tower - Level 3;
gui/menu/research/description/towers_rockets_swarm_lvl_1;experimental weapons,mounted on a tower.;
gui/menu/research/description/towers_rockets_swarm_lvl_2;damage are strengthened by this research. Even more fun for the Riftbreaker!;
gui/menu/research/description/towers_rockets_swarm_lvl_3;damage are strengthened by this research. Even more fun for the Riftbreaker!;
gui/hud/building_name/tower_rockets_nuke;Little Nuke Tower;;;;"Little Nuke"-Turm;;;;;
gui/hud/building_description/tower_rockets_nuke;This tower is for the extreme riftbreakers. It shoots small nuclear bombs and is therefore a very effective weapon!;
gui/menu/research/name/towers_rockets_nuke_lvl_1;"Little Nuke" Tower - Level 1;
gui/menu/research/name/towers_rockets_nuke_lvl_2;"Little Nuke" Tower - Level 2;
gui/menu/research/name/towers_rockets_nuke_lvl_3;"Little Nuke" Tower - Level 3;
gui/menu/research/description/towers_rockets_nuke_lvl_1;Through this research, nuclear missiles are being mounted on towers. Hopefully this won't be a suicide mission...;
gui/menu/research/description/towers_rockets_nuke_lvl_2;The warheads are too weak for you? Then research even better ones!;
gui/menu/research/description/towers_rockets_nuke_lvl_3;The warheads are too weak for you? Then research even better ones!;
gui/hud/building_name/tower_flamer_cryogenic;Cryogenic Tower;
gui/hud/building_description/tower_flamer_cryogenic;This tower uses a liquid as a means of fuel and uses them to create deadly aqua cryogenic flames.;
gui/menu/research/name/towers_flamer_cryogenic_lvl_1;Cryogenic Tower - Level 1;
gui/menu/research/name/towers_flamer_cryogenic_lvl_2;Cryogenic Tower - Level 2;
gui/menu/research/name/towers_flamer_cryogenic_lvl_3;Cryogenic Tower - Level 3;
gui/menu/research/description/towers_flamer_cryogenic_lvl_1;Through further research into cryogenic plants, it is possible to obtain liquid nitrogen, which in turn can be used for new towers.;
gui/menu/research/description/towers_flamer_cryogenic_lvl_2;The harvesting method of liquid nitrogen and structure of towers is improved with this research.;
gui/menu/research/description/towers_flamer_cryogenic_lvl_3;The harvesting method of liquid nitrogen and structure of towers is improved with this research.;
gui/hud/building_name/tower_flamer_acid;Sludge Thrower Tower;
gui/hud/building_description/tower_flamer_acid;This tower uses a liquid as a means of fuel and uses them to create deadly green acidic flames.;
gui/menu/research/name/towers_flamer_acid_lvl_1;Sludge Thrower Tower - Level 1;
gui/menu/research/name/towers_flamer_acid_lvl_2;Sludge Thrower Tower - Level 2;
gui/menu/research/name/towers_flamer_acid_lvl_3;Sludge Thrower Tower - Level 3;
gui/menu/research/description/towers_flamer_acid_lvl_1;The sludge on the planet Galatea 37 seems to be very toxic and can be used for many applications. Through this research it will be possible to use this said mud as "fuel" for throwers.;
gui/menu/research/description/towers_flamer_acid_lvl_2;use the sludge from the planet Galatea 37.;
gui/menu/research/description/towers_flamer_acid_lvl_3;use the sludge from the planet Galatea 37.;
gui/hud/building_name/tower_flamer_heptan;Plasmoid Flamer Tower;
gui/hud/building_description/tower_flamer_heptan;This tower uses a liquid as a means of fuel and uses them to create deadly blue plasmoid flames.;
gui/menu/research/name/towers_flamer_heptan_lvl_1;Plasmoid Flamer Tower - Level 1;
gui/menu/research/name/towers_flamer_heptan_lvl_2;Plasmoid Flamer Tower - Level 2;
gui/menu/research/name/towers_flamer_heptan_lvl_3;Plasmoid Flamer Tower - Level 3;
gui/menu/research/description/towers_flamer_heptan_lvl_1;liquid hydrocarbon "heptane" and its use as "fuel" for flamethrower towers.;
gui/menu/research/description/towers_flamer_heptan_lvl_2;liquid hydrocarbon are being researched, strengthening the flamethrower towers that run on it.;
