;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/planetary_scanner/base_info_buildings_defense_modd;Tower Arsenal Defense Buildings:;;;;;;;;;
biomes/ArcticIslands/ArcticIslands.biome;Arctic lands;
gui/menu/planetary_scanner/mission_ArcticIslands_find_samples_description;Cosmic yeast colonies have been detected in this area. Construct a Research Station near one of the colonies' roots to learn how the cosmic yeast metabolizes cosmonite. This should help us with tracking larger deposits of this resource. Cosmic Offensive Gear is highly recommended for this mission.;
gui/hud/objective_name/story/ArcticIslands_find_samples/research_lab;Establish a research station near a cosmic yeast colony.;
gui/hud/objective_name/story/ArcticIslands_find_samples/research_lab.build;Build a research station near the cosmic yeast colony root.;
gui/hud/objective_name/story/ArcticIslands_find_samples/research_lab.find_root;Find an cosmic yeast creeper colony root.;
gui/hud/objective_name/story/ArcticIslands_find_samples/research_lab.find_root_zone;Cosmic yeast activity detected nearby. Investigate the area.;
gui/hud/objective_name/story/ArcticIslands_find_samples/research_lab.power;Power the research station until it finishes the scanning process.;
gui/hud/objective_name/story/ArcticIslands_floor_research;Research "Anti-Corrosive Floor" to protect from cosmic yeast expansion.;
DIALOG/story/ArcticIslands/ashley_find_samples_01;Good, we need to get close to the central root of one of these colonies and construct a Research Station near it. This isn't going to be easy.;
DIALOG/story/ArcticIslands/ashley_find_samples_02;Ok, this looks like the central root of the colony. Now we have to build a Research Station close to it to start the scanning procedure.;
DIALOG/story/ArcticIslands/ashley_find_samples_03;Great, now we just have to maintain power to the Research Lab and let it gather the necessary data.;
DIALOG/story/ArcticIslands/ashley_find_samples_04;We're halfway through analyzing the root of the acidic yeast colony. The data is already looking very promising.;
DIALOG/story/ArcticIslands/ashley_find_samples_05;That's very interesting. It looks like we've been recognized as a threat, the colonies are trying to devour our base.;
gui/hud/objective_name/story/find_cosmonite;Gather Cosmonite ore samples;
gui/hud/objective_name/story/ArcticIslands_find_rare_resource/find_cosmonite;Locate Cosmonite using the Geoscanner. Resource gathered: ;
gui/hud/objective_name/story/ArcticIslands_find_rare_resource/gather_familiarity_samples;Gather purple Crystal samples to unlock plasmanite witch can be harvested from the crystals using a cultivator.;
gui/hud/objective_name/story/ArcticIslands_find_rare_resource/scout_area;Scout a Plasmanite rich area.;
DIALOG/weather/mech_cosmic_rock_rain_end_11;I'm not tracking any cosmic rock rain in the air. The threat has passed. Now we can assess the damage.;
DIALOG/weather/mech_cosmic_rock_rain_start_11;Danger! Large cosmic chunks of rock are dropping from the sky. They can cause serious cosmic damage.;
DIALOG/weather/mech_cosmic_rock_rain_warning_11;Warning! I've detected a nearby cosmic explosion. Prepare for cosmic rock rain bombardment.;
DIALOG/weather/mech_cosmic_moon_end_01;The cosmic moon is now below the horizon. It looks like things are beginning to slowly calm down.;
DIALOG/weather/mech_cosmic_moon_end_01_short;The cosmic moon is now below the horizon.;
DIALOG/weather/mech_cosmic_moon_start_01;The cosmic moon is now fully up. I am sensing increased activity everywhere around us.;
DIALOG/weather/mech_cosmic_moon_warning_01;One of Gala-tea's unique moonrise events is starting. This is going to be a fascinating spectacle.;
DIALOG/weather/mech_cosmic_moon_warning_01_short;My calculations indicate that we will experience a cosmic moon tonight.;
DIALOG/weather/ashley_cosmic_moon_end_01;The cosmic moon is over. Things are getting back to normal.;
DIALOG/weather/ashley_cosmic_moon_start_01;Everything is glowing pink and purple. It's unsettling.;
DIALOG/weather/ashley_cosmic_moon_start_02;This lighting makes me feel uneasy. I get a bad feeling about this.;
DIALOG/weather/ashley_cosmic_moon_warning_01;There's a cosmic moon coming up on the horizon. I'm getting a bad feeling about this.;
DIALOG/story/ArcticIslands/ashley_find_new_resource_01;It's actually quite calm in here. That's a bit suspicious, don't you think, Mr. Riggs?;Jest tu całkiem spokojnie. To trochę podejrzane, nie sądzisz, panie Riggs?;Тут как-то тихо. Тебе не кажется это немного подозрительным, мистер Ригз?;C'est plutôt calme, par ici. Tu ne trouves pas que c'est louche, M. Riggs ?;Es ist tatsächlich sehr ruhig hier drinnen. Das ist ein bisschen verdächtig, oder, Mr. Riggs?;Todo está muy tranquilo por aquí. Un poco sospechoso, ¿no crees, Sr. Riggs?;Na verdade, parece bem calmo aqui. Isto é um tanto suspeito, você não acha, Sr. Riggs?;这里实在是太安静了，这有点可疑，你不这么认为吗，里格斯先生？;静かな場所ね。ミスター・リグス、ちょっと不気味な感じがすると思わない？;정말 조용하네. 좀 의심스럽지 않아, 릭스?
DIALOG/story/ArcticIslands/ashley_find_new_resource_03;Great, the ones we've been finding so far were really small. Maybe we can find something that we could place an automated mining station on.;Świetnie, te, które znajdowaliśmy do tej pory były naprawdę małe. Może uda nam się znaleźć coś, na czym moglibyśmy umieścić automatyczną stację wydobywczą.;Отлично, те, что мы находили до этого, были очень маленькими. Может быть, мы сможем найти что-то, на чем можно разместить автоматическую добывающую станцию.;Super. Ceux qu'on a trouvés jusqu'ici sont plutôt petits. Peut-être qu'on trouvera un gisement sur lequel placer une station d'extraction automatisée.;Großartig. Alle, die wir bis jetzt gefunden haben, waren sehr klein. Vielleicht können wir etwas finden, auf das wir eine automatisierte Station für den Abbau stellen können.;Genial, los que hemos encontrado hasta ahora eran muy pequeños. Quizá podamos encontrar algo sobre lo que construir una estación de minado automatizada.;Ótimo, os que temos encontrado até então eram bem pequenos. Talvez possamos encontrar algo em que pudéssemos erguer uma estação de mineração automatizada.;很好，目前为止我们找到的东西真的挺小。或许我们可以找到点什么可以把自动采矿站放上去的东西。;まったく、今のところどれも小さいものしか発見できていない。自動採掘ステーションを設置できるような鉱床はないかしら。;좋아. 이때까지 찾은 건 굉장히 작았어. 자동화 채굴 스테이션을 지을 수 있는 걸 찾아보자.
DIALOG/story/ArcticIslands/ashley_find_new_resource_04;The Palladium deposits that we've been finding here are too small to build a mining station. However, we've learned how to find it. The data gathered with the Geoscanner can be fed to the Orbital Scanner to search for minable Palladium. Our mission here is complete. We can return to headquarters to start preparing to build a Palladium mining outpost.;Złoża Palladu, które tu znajdujemy są zbyt małe, aby zbudować stację wydobywczą, jednak nauczyliśmy się jak je znaleźć. Dane, które zebraliśmy za pomocą geoskanera mogą zostać przesłane do Skanera Orbitalnego w celu poszukiwania nadającego się do wydobycia Palladu. Nasza misja w tej okolicy jest zakończona. Możemy wrócić do Kwatery Głównej, aby rozpocząć przygotowania do budowy placówki wydobycia Palladu.;Месторождения палладия, которые мы обнаруживали, слишком малы для строительства добывающей станции, однако мы теперь научились их находить. Данные, которые мы собрали с помощью геосканера, можно передать на орбитальный сканер для поиска пригодного для добычи палладия. Наша миссия в этой области завершена. Мы можем вернуться в штаб и начать подготовку к строительству аванпоста для добычи палладия.;Les gisements de palladium que nous avons trouvés ici sont trop petits pour construire une station d'extraction. Cependant, nous avons découvert comment en trouver d'autres. Les données récoltées avec le géoscanner peuvent être entrées dans le scanner orbital pour chercher du palladium extractible. Notre mission dans cette zone est terminée. Nous pouvons retourner au quartier général pour commencer à nous préparer à construire un avant-poste d'extraction de palladium.;Die Palladiumvorkommen, die wir hier gefunden haben, sind zu klein für den Bau einer Bergbaustation. Dennoch wissen wir jetzt, wie wir es finden können. Die Daten, die wir mit dem Geoscanner gesammelt haben, können in den Orbitscanner übertragen werden, um nach abbaubarem Palladium zu suchen. Unsere Mission in diesem Gebiet ist abgeschlossen. Wir können zum Hauptquartier zurückkehren und mit der Vorbereitung für den Bau eines Palladium-Förderungsaußenpostens beginnen.;Los depósitos de paladio que hemos encontrado hasta ahora no son suficientes para construir una estación de minado, pero ya hemos aprendido a encontrarlos. Los datos recogidos con el geoescáner pueden usarse en el escáner orbital para buscar paladio. Hemos acabado nuestra misión en esta zona, podemos volver al cuartel general para preparar la construcción de un puesto minero de paladio.;Os depósitos de Paládio que temos encontrado são pequenos demais para servir de base para uma estação de mineração. Entretanto, aprendemos como encontrá-los. Os dados coletados pelo Explorador Geológico podem ser enviados para o Explorador Orbital para que encontre Paládio minerável. Nossa missão nessa área está concluída. Podemos retornar ao quartel para começar a nos preparar para a construção de um posto avançado de mineração de Paládio.;我们在这里发现的钯矿太小，无法建立一个采矿站，不过，我们已经学会了如何找到它。我们用地质探测仪收集到的数据可以反馈给轨道扫描仪，以搜索可开采的钯。我们在当前地区的任务已完成。我们可以回到总部，开始准备建造一个钯矿哨站。;ここで見つけたパラジウムの鉱床は、採掘ステーションを設営するには小さすぎる。でも大きな鉱床を探す方法はわかった。ジオスキャナで収集したデータを軌道スキャナに入力すれば、パラジウムの鉱床を探知できる。このエリアでの私たちのミッションは完了よ。本部へ戻り、パラジウムの採掘基地の設営準備に取り掛かりましょう。;이때까지 여기서 찾은 팔라듐 광상은 너무 작아서 채굴 스테이션을 건설할 수는 없지만, 광상을 찾는 방법을 알아냈어. 지질 스캐너로 수집한 데이터를 행성 스캐너에 입력해서 채굴 가능한 팔라듐을 찾아낼 수 있지. 이곳에서의 우리 임무는 끝났어. 본부로 돌아가서 팔라듐 채굴 전초기지 건설을 준비하자.
DIALOG/story/ArcticIslands/ashley_find_new_resource_05;What's this!? The Geoscanner detected a hidden cache of explosive fluid underground. This functionality is normally used for detecting minefields. There are exploding mushrooms underground. This must be the reason why the acidic yeast colonies are not present in this area. Let's be careful here!;Co to jest?! Geoskaner wykrył pod ziemią coś wybuchowego. Ta funkcja jest zwykle używana do wykrywania pól minowych. Pod ziemią znajdują się eksplodujące grzyby. To musi być powód, dla którego kolonie kwasowych drożdży nie są obecne w tym obszarze. Bądźmy tu ostrożni!;Что это!? Геосканер обнаружил скрытый запас взрывчатой жидкости под землей. Эта функция обычно используется для обнаружения минных полей. Под землей растут взрывающиеся грибы. Возможно, поэтому здесь и нет колоний кислотного дрожжевого грибка. Надо быть начеку!;Qu'est-ce qui se passe ? Le géoscanner a détecté un dépôt caché de fluide explosif sous la terre. Cette fonctionnalité est généralement utilisée pour détecter des champs de mines. Il y a des champignons explosifs sous terre. Ça doit être pour ça que les colonies de levures acides ne sont pas présentes dans cette zone. Faisons attention !;Was ist das!? Der Geoscanner hat eine verborgene Kammer mit explosiver Flüssigkeit unter der Erde gefunden. Normalerweise wird diese Funktion verwendet, um Minenfelder zu finden. Da sind explodierende Pilze unter der Erde. Das muss der Grund dafür sein, warum die säurehaltigen Hefekolonien in dieser Gegend nicht zu finden sind. Wir sollten vorsichtig sein!;¿¡Qué es esto!? El geoescáner ha detectado un depósito oculto de fluido explosivo bajo tierra. Esta función normalmente se usa para detectar campos de minas. Parece que hay hongos explosivos bajo la superficie, esta debe ser la razón por la que no hay colonias de hongos ácidos en esta zona. ¡Vayamos con ojo por aquí!;O que é isso?! O Explorador Geológico detectou um esconderijo de fluidos explosivos embaixo da terra. Essa funcionalidade é normalmente usada para detectar campos minados. Há cogumelos explosivos embaixo da terra. Essa deve ser a razão pela qual as colônias de leveduras ácidas não estão presentes nessa área. Vamos tomar cuidado por aqui!;什么？！地质探测仪检测到地下隐藏着爆炸性液体！这项功能通常用于探测雷区。看来地下有爆炸性的蘑菇，难怪这片区域找不到任何酸性酵母菌群。让我们谨慎行事吧！;何ですって！？ジオスキャナが地中に溜まっている爆発性の液体を検知したわ！この機能は通常、地雷原の検知に使われるものよ。どうやら地中に爆発性のキノコが生息しているようね。だからここには酸性イースト菌の群生が見当たらなかったんだわ。注意して進みましょう！;이게 뭐지!? 지질 스캐너에 지하에 숨겨진 폭발성 액체가 발견됐어. 이 기능은 보통 지뢰밭을 탐지하는 데 쓰이지. 지하에 폭발성 버섯이 있어. 이 지역에 산성 효모 군락지가 없는 것도 이 때문이겠지. 조심하는 게 좋겠어!
DIALOG/story/ArcticIslands/ashley_find_new_resource_06;A giant mushroom just exploded under our feet! I didn't expect that. We can use the Geoscanner to detect hidden explosives underground. This functionality is normally used for detecting minefields, but we can use it here as well. This must be the reason why the acidic yeast colonies are not present in this area. Let's be careful here!;
DIALOG/story/mech_orbital_scanning_arctic_11;The 3rd interesting area is densely covered by cosmic clouds of unknown origin. analysis detected traces of Cosmonite throughout this geographical zone. I have marked a safe rift jump location for initial reconnaissance on the Orbital Scanner interface.;
DIALOG/story/ashley_find_rare_resource_11;Ok, let's grab the Geoscanner and start searching for treasure.;
DIALOG/story/ashley_find_rare_resource_12;We've gathered enough crystal samples to start researching plasmanite handling. This is going to unlock a lot of new technologies.;
DIALOG/story/ashley_find_rare_resource_13;Excellent, we should gather as much Cosmonite as possible. We'll use it later to craft better equipment,;
DIALOG/story/ashley_find_rare_resource_14;We've gathered a sizeable amount of Cosmonite. This should be enough to craft some good equipment. We can stay here and try to find even more or get back to our primary objectives.;
DIALOG/story/ashley_new_resource_11;It's actually quite calm in here. That's a bit suspicious, don't you think, Mr. Riggs?;
DIALOG/story/ashley_new_resource_13;Great, the ones we've been finding so far were really small. Maybe we can find something that we could place an automated mining station on.;
DIALOG/story/ashley_new_resource_14;The Cosmonite deposits that we've been finding here are too small to build a mining station. However, we've learned how to find it. The data gathered with the Geoscanner can be fed to the Orbital Scanner to sea start preparing to build a Cosmonite mining outpost.;
DIALOG/story/ashley_new_resource_15;What's this!? The Geoscanner detected a hidden cache of explosive fluid underground. This functionality is normally used for detecting minefields. There are exploding cosmic mushrooms underground. This must be the reason why the cosmic yeast colonies are not present in this area. Let's be careful here!;
DIALOG/story/ashley_new_resource_16;A giant cosmic mushroom just exploded under our feet! I didn't expect that. We can use the Geoscanner to detect hidden explosives underground. This functionality is normally used for detecting minefields, but we can use it here as well. This must be the reason why the cosmic yeast colonies are not present in this area. Let's be careful here!;
DIALOG/story/mech_new_resource_11;Rift jump successful. Orbital scanning indicated that there should be multiple underground Cosmonite deposits hidden in this area. We can use the Geoscanner to find them.;
DIALOG/story/mech_new_resource_12;Yes, that is abnormal. I'm not detecting any cosmic yeast colonies in the area. The local fauna population also seems to be smaller than in the other areas of this biome.;Tak, to jest nietypowe. Nie wykrywam żadnych kolonii kwasowych drożdży na tym obszarze, lokalna fauna również wydaje się być mniej liczna niż w innych rejonach tego biomu.;Да, это аномалия. Я не обнаружил колонии кислотного дрожжевого грибка в этой области, местная фауна также кажется меньше, чем в других областях этого биома.;Oui, ce n'est pas normal. Je ne détecte aucune colonie de levures acides dans la zone. La faune locale semble aussi bien moins importante que dans les autres secteurs de ce biome.;Ja, das ist nicht normal. Ich kann keine säurehaltigen Hefekolonien in dieser Gegend finden und die örtliche Tierwelt scheint auch kleiner als in anderen Teilen dieses Bioms zu sein.;Sí, esto no es normal. No detecto ninguna colonia de hongos ácidos en esta área, y la abundancia de fauna local también parece ser menor que en otras zonas del bioma.;Sim, isso é anormal. Não estou detectando nenhuma colônia de leveduras ácidas na área. A população da fauna local também parece ser menor do que nas outras áreas desse bioma.;是的，这是不正常的。我没有在这里侦测到任何酸性酵母菌群，这里的动物群似乎也比这个生态区其他地方的动物群要小。;確かに異常だ。このエリアでは酸性イースト菌のコロニーを検知していない。動物の個体数も、バイオーム内の他のエリアに比べて少ないようだ。;네, 분명히 비정상적이죠. 이 지역에서 어떠한 산성 효모 군락지도 감지되지 않았고, 다른 지역보다 동물의 개체 수도 적어 보입니다.
DIALOG/story/mech_new_resource_13;Ashley, I have located a larger underground Cosmonite deposit. I have marked its location on our map.;Ashley, zlokalizowałem większe podziemne złoże Palladu. Zaznaczyłem jego lokalizację na naszej mapie.;Эшли, я обнаружил крупное подземное месторождение палладия. Я отметил его местоположение на карте.;Ashley. J'ai localisé un gisement souterrain de palladium plus important. J'ai indiqué son emplacement sur ta carte.;Ashley, ich habe eine größere unterirdische Palladiumablagerung gefunden. Ich habe die Position auf unserer Karte vermerkt.;Ashley, he encontrado un gran depósito subterráneo de paladio. He marcado su ubicación en el mapa.;Ashley, eu localizei um depósito subterrâneo de Paládio maior. Marquei sua localização em nosso mapa.;阿雪莉，我已经定位到一个更大的地下钯矿。我已经在地图上标注出地点。;アシュリー、地下の大きなパラジウム鉱床を見つけた。マップに場所を記録しておいた。;애슐리, 더 큰 지하 팔라듐 광상을 발견했습니다. 지도에 위치를 표시해뒀어요.
DIALOG/story/mech_new_resource_14;Danger! Underground cosmic explosion detected.;
DIALOG/story/mech_find_rare_resource_11;Rift jump successful. The Orbital Scanner reported large condensations of Plasmanite in this area, both underground and in the form of the purple crystal formations that we've seen in the other parts of this biome.;
DIALOG/story/mech_find_rare_resource_12;You can also use the Bioscanner to scan the purple crystal formations. If we can gather enough samples of these crystals, we will learn how to obtain more Plasmanite.;
DIALOG/story/mech_find_rare_resource_13;Ashley, I have located a large condensation of Plasmanite near our position. I have marked its approximate location on our map.;
DIALOG/story/mech_find_rare_resource_14;Warning! Cosmic nests detected within this area. Be careful, Ashley!;
DIALOG/story/mech_find_rare_resource_15;Ashley, my resource extraction AI subroutines have gathered enough data about these purple crystals to start extracting Plasmanite directly from them. If we could collect even more specimens, then maybe we could even grow them using a Cultivator.;
DIALOG/arctic/ashley_scout_11;Cosmic condensation is definitely abnormal comparing to what we've seen in other parts of the planet. Something must be emitting the cosmic straight into the air. Let's look around to see what we can find.;
DIALOG/arctic/ashley_scout_12;Ok, let's go there to see what is causing them.;
DIALOG/arctic/ashley_scout_13;The cosmic fumes are much denser near this growth. This thing must be responsible for the highly cosmic atmosphere in this area.;
DIALOG/arctic/ashley_scout_14;There must be much more of this cosmic yeast growing here. The Orbital Scanner report indicated that this entire biome is covered in these fumes. We should study it further before setting up a permanent outpost in this area of the planet.;
DIALOG/arctic/ashley_scout_15;Ok, that's enough cosmic yeast samples to start researching them in the Research Lab.;
DIALOG/arctic/mech_scout_11;Rift jump successful. Environmental scanning in progress. Ashley, my sensors are indicating a highly cosmic atmosphere composition.;
DIALOG/arctic/mech_scout_12;I am picking up cosmic fume emissions near our position.;
DIALOG/arctic/mech_scout_13;This life form is multiplying very rapidly. It is subdividing its cells similarly to Acidic yeast. The fluid inside these cells is highly cosmic. Please keep a safe distance.;
DIALOG/arctic/mech_scout_14;Ashley, I strongly suggest using a Bioscanner to gather samples from these life forms. The fluid inside them is a highly condensed cosmic that can easily burn through my armor. The Bioscanner will allow us to gather samples from a safe distance.;
DIALOG/arctic/mech_scout_15;I am not detecting any traces of Cosmonite or any other objects of interest in this area. We can return to Headquarters and continue scanning the planet for traces of Cosmonite.;
DIALOG/arctic_samples/mech_find_samples_11;Rift jump successful. I am detecting multiple cosmic yeast colonies nearby. They are larger than the ones we have seen before and are growing at a faster rate.;
DIALOG/arctic_samples/mech_find_samples_12;I have located an cosmic yeast colony root nearby. You can check its location on the map.;
DIALOG/arctic_samples/mech_find_samples_13;Remember that we can block the growth of the cosmic yeast colony by placing Graffiti floor tiles around it. It would be advised to build our entire base on Graffiti floors.;
DIALOG/arctic_samples/mech_find_samples_14;Research Lab operational. Cosmic yeast scanning in progress.;
DIALOG/arctic_samples/mech_find_samples_15;My sensors are picking up increased movement around our position. We should prepare to defend the Research Laboratory.;
DIALOG/arctic_samples/mech_find_samples_16;Ashley, since you've built up our Research Station in this area, I've noticed a change in the growth vector of the cosmic yeast colonies around us. It appears that all of them are slowly growing in our direction.;
DIALOG/arctic_samples/mech_find_samples_17;The Research Lab has finished gathering data on the cosmic yeast colonies. Objective completed, we can return to Headquarters.;
DIALOG/arctic_samples/ashley_find_samples_11;Good, we need to get close to the central root of one of these colonies and construct a Research Station near it. This isn't going to be easy.;
DIALOG/arctic_samples/ashley_find_samples_12;Ok, this looks like the central root of the colony. Now we have to build a Research Station close to it to start the scanning procedure.;
DIALOG/arctic_samples/ashley_find_samples_13;Great, now we just have to maintain power to the Research Lab and let it gather the necessary data on the cosmic root.;
DIALOG/arctic_samples/ashley_find_samples_14;We're halfway through analyzing the root of the cosmic yeast colony. The data is already looking very promising.;
DIALOG/arctic_samples/ashley_find_samples_15;That's very interesting. It looks like we've been recognized as a threat, the cosmic colonies are trying to devour our base.;
DIALOG/arctic_samples/ashley_orbital_scanning_arctic_11;Interesting, we've found traces of Cosmonite inside the cosmic yeast samples that we just collected. It might be a good idea to search for larger colonies of this life form. They might indicate the location of higher concentrations of Cosmonite.;
DIALOG/arctic_samples/ashley_orbital_scanning_arctic_12;The cosmic yeast colonies that we've observed seemed to grow from a central root inside the colony. I'd like to study a living colony in its natural habitat to gather more data on how it gathers Cosmonite ore from the environment. We'll need to construct a local Reasearch Station near one of the colonies in order to do that. We'll have to download the necessary technology for that building if we don't have it yet.;
DIALOG/arctic_samples/ashley_orbital_scanning_arctic_13;I think that we can prevent the colony from overgrowing our base by covering the soil with a structure that the cosmic yeast can't grow on.;
DIALOG/arctic_samples/ashley_orbital_scanning_arctic_14;We can prevent that. Now that we know the type of cosmic energy that this life form is producing, we can research special, Graffiti flooring that will protect our base. We just need to build the Research Station on the Graffiti floor tiles.;
DIALOG/arctic_samples/ashley_orbital_scanning_arctic_15;The data that we've gathered proves that this life form can digest even the smallest traces of Cosmonite ore. Cosmonite normally doesn't react with most cosmic energy, but this life form uses a highly concentrated form of cosmic energy that is heated up by the creature's metabolic processes. We can program the Orbital Scanner to analyze the growth patterns of the cosmic yeast colonies. This should help us in finding Cosmonite ore deposits that these colonies are moving towards.;
DIALOG/arctic_samples/ashley_orbital_scanning_arctic_16;Interesting, if there's Cosmonite ore there and they aren't interested in it, then something might be preventing them from growing in that area. We should prepare for the unexpected.;
DIALOG/arctic_samples/ashley_orbital_scanning_arctic_17;That's good. Maybe there will be fewer alien towers in that area. Either way, we should remember to use the Geoscanner frequently.;
