;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/description/turrets_cluster_standard_item;A blueprint for a craftable, self-operated defensive turret that tracks targets in its vicinity. If an enemy is recognized, the turret will automatically open fire. No ammunition is necessary. Works for a limited amount of time.;Plany konstrukcyjne dla autonomicznej wieżyczki obronnej, która śledzi i niszczy cele w swoim pobliżu. Do jej działania niepotrzebne są amunicja i podłączenie do źródła energii. Działa do momentu zniszczenia, bądź do wyczerpania zasobów energii.;Чертеж самодельной оборонительной турели, которая отслеживает цели, находящиеся поблизости. Если враг распознан, турель автоматически открывает огонь. Боеприпасы не требуются. Работает ограниченное количество времени.;Les plans pour fabriquer une tourelle de défense autonome qui suit les déplacements des cibles à portée. Si un ennemi est reconnu, la tourelle ouvrira automatiquement le feu. Elle ne nécessite pas de munitions, mais fonctionne pendant une durée limitée.;Ein Entwurf für einen herstellbaren, selbstgesteuerten Abwehrturm, der Ziele in seiner Umgebung verfolgt. Wird ein Feind erkannt, eröffnet der Geschützturm automatisch das Feuer. Es wird keine Munition benötigt. Funktioniert nur für eine begrenzte Zeitspanne.;Un plano para fabricar una torreta de defensa autónoma que rastrea a los objetivos en sus inmediaciones. Al reconocer a un enemigo, la torreta abre fuego automáticamente. No requiere munición y funciona durante un tiempo limitado.;Um projeto para uma torreta defensiva fabricável, que opera sozinha e rastreia alvos em sua vizinhança. Se um inimigo for reconhecido, a torreta abrirá fogo automaticamente. Munição desnecessária. Funciona por tempo limitado.;一个可打造的、自动化的防御性炮塔蓝图，可以追踪附近目标。一旦识别敌人，炮塔会自动开火。不需要消耗炮弹。在有限的时间内工作。;クラフト可能な自走式防衛砲塔の設計図。周囲のターゲットを追跡し、敵を認識すると自動的に射撃を開始する。弾薬は不要。一定時間しか使用できない。;주변 목표를 자동으로 추적하는 방어 터렛의 청사진입니다. 적이 탐지되면 자동으로 발포합니다. 탄약이 필요하지 않습니다. 제한된 시간 동안 작동합니다.
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_mobile_turret_standard_item;Sentry Gun – Standard;Wieżyczka Autonomiczna - Standardowa;Автоматическая турель — Стандартно;Canon sentinelle – Niveau standard;Sentry-Gewehr – Standard;Torreta automática - Estándar;Torreta – Padrão;哨兵机关枪 – 标准;セントリーガン - ベーシック;센트리 건 – 기본
gui/menu/research/name/turrets_cluster_mods_mobile_turret_advanced_item;Sentry Gun – Advanced;Wieżyczka Autonomiczna - Zaawansowana;Автоматическая турель — Улучшено;Canon sentinelle – Niveau avancé;Sentry-Gewehr – Fortgeschritten;Torreta automática - Avanzada;Torreta – Avançada;哨兵机关枪 – 中级;セントリーガン – アドバンス;센트리 건 - 고급
gui/menu/research/name/turrets_cluster_mods_mobile_turret_superior_item;Sentry Gun – Superior;Wieżyczka Autonomiczna - Świetna;Автоматическая турель — Превосходно;Canon sentinelle – Niveau supérieur;Sentry-Gewehr – Außergewöhnlich;Torreta automática - Superior;Torreta – Superior;哨兵机关枪 – 高级;セントリーガン - エピック;센트리 건 – 탁월
gui/menu/research/name/turrets_cluster_mods_mobile_turret_extreme_item;Sentry Gun – Extreme;Wieżyczka Autonomiczna - Ekstremalna;Автоматическая турель — Экстремально;Canon sentinelle – Niveau extrême;Sentry-Gewehr – Profi;Torreta automática - Extrema;Torreta – Extrema;哨兵机关枪 – 终极;セントリーガン - レジェンド;센트리 건 – 극한
;;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_mobile_turret_standard_item;A blueprint for a craftable, self-operated defensive turret that tracks targets in its vicinity. If an enemy is recognized, the turret will automatically open fire. No ammunition is necessary. Works for a limited amount of time.;Plany konstrukcyjne dla autonomicznej wieżyczki obronnej, która śledzi i niszczy cele w swoim pobliżu. Do jej działania niepotrzebne są amunicja i podłączenie do źródła energii. Działa do momentu zniszczenia, bądź do wyczerpania zasobów energii.;Чертеж самодельной оборонительной турели, которая отслеживает цели, находящиеся поблизости. Если враг распознан, турель автоматически открывает огонь. Боеприпасы не требуются. Работает ограниченное количество времени.;Les plans pour fabriquer une tourelle de défense autonome qui suit les déplacements des cibles à portée. Si un ennemi est reconnu, la tourelle ouvrira automatiquement le feu. Elle ne nécessite pas de munitions, mais fonctionne pendant une durée limitée.;Ein Entwurf für einen herstellbaren, selbstgesteuerten Abwehrturm, der Ziele in seiner Umgebung verfolgt. Wird ein Feind erkannt, eröffnet der Geschützturm automatisch das Feuer. Es wird keine Munition benötigt. Funktioniert nur für eine begrenzte Zeitspanne.;Un plano para fabricar una torreta de defensa autónoma que rastrea a los objetivos en sus inmediaciones. Al reconocer a un enemigo, la torreta abre fuego automáticamente. No requiere munición y funciona durante un tiempo limitado.;Um projeto para uma torreta defensiva fabricável, que opera sozinha e rastreia alvos em sua vizinhança. Se um inimigo for reconhecido, a torreta abrirá fogo automaticamente. Munição desnecessária. Funciona por tempo limitado.;一个可打造的、自动化的防御性炮塔蓝图，可以追踪附近目标。一旦识别敌人，炮塔会自动开火。不需要消耗炮弹。在有限的时间内工作。;クラフト可能な自走式防衛砲塔の設計図。周囲のターゲットを追跡し、敵を認識すると自動的に射撃を開始する。弾薬は不要。一定時間しか使用できない。;주변 목표를 자동으로 추적하는 방어 터렛의 청사진입니다. 적이 탐지되면 자동으로 발포합니다. 탄약이 필요하지 않습니다. 제한된 시간 동안 작동합니다.
gui/menu/research/description/turrets_cluster_mods_mobile_turret_advanced_item;A slightly more powerful version of the Sentry Gun. Remains operational for longer thanks to battery capacity increase. ;Bardziej potężna wersja Wieżyczki Automatycznej. Jest w stanie dłużej pozostać aktywna dzięki zwiększonej pojemności akumulatora.;Немного более мощная версия автоматической турели. Дольше сохраняет работоспособность благодаря увеличенной емкости батареи. ;Une version légèrement plus puissante du canon sentinelle. Celle-ci reste opérationnelle plus longtemps grâce à une amélioration de la capacité de sa batterie. ;Eine etwas stärkere Version des Sentry-Gewehrs. Bleibt dank der erhöhten Batteriekapazität länger einsatzbereit. ;Una versión ligeramente más potente del cañón de la torreta automática. Permanece operativo durante más tiempo gracias al aumento de capacidad de la batería. ;Uma versão um pouco mais poderosa da Torreta. Permanece operacional por mais tempo graças ao aumento da capacidade de sua bateria. ;一款稍强力些的哨兵机关枪。提升了电池容量，可以使用更长时间。;セントリーガンの性能をわずかに高めたモデル。バッテリー容量が向上し、より長く使用できるようになっている。 ;조금 향상된 센트리 건입니다. 배터리를 개선하여 더 오랜 시간 작동합니다. 
gui/menu/research/description/turrets_cluster_mods_mobile_turret_superior_item;A slightly more powerful version of the Sentry Gun. Remains operational for longer thanks to battery capacity increase. ;Bardziej potężna wersja Wieżyczki Automatycznej. Jest w stanie dłużej pozostać aktywna dzięki zwiększonej pojemności akumulatora.;Немного более мощная версия автоматической турели. Дольше сохраняет работоспособность благодаря увеличенной емкости батареи. ;Une version légèrement plus puissante du canon sentinelle. Celle-ci reste opérationnelle plus longtemps grâce à une amélioration de la capacité de sa batterie. ;Eine etwas stärkere Version des Sentry-Gewehrs. Bleibt dank der erhöhten Batteriekapazität länger einsatzbereit. ;Una versión ligeramente más potente del cañón de la torreta automática. Permanece operativo durante más tiempo gracias al aumento de capacidad de la batería. ;Uma versão um pouco mais poderosa da Torreta. Permanece operacional por mais tempo graças ao aumento da capacidade de sua bateria. ;一款稍强力些的哨兵机关枪。提升了电池容量，可以使用更长时间。;セントリーガンの性能をわずかに高めたモデル。バッテリー容量が向上し、より長く使用できるようになっている。 ;조금 향상된 센트리 건입니다. 배터리를 개선하여 더 오랜 시간 작동합니다. 
gui/menu/research/description/turrets_cluster_mods_mobile_turret_extreme_item;A slightly more powerful version of the Sentry Gun. Remains operational for longer thanks to battery capacity increase. ;Bardziej potężna wersja Wieżyczki Automatycznej. Jest w stanie dłużej pozostać aktywna dzięki zwiększonej pojemności akumulatora.;Немного более мощная версия автоматической турели. Дольше сохраняет работоспособность благодаря увеличенной емкости батареи. ;Une version légèrement plus puissante du canon sentinelle. Celle-ci reste opérationnelle plus longtemps grâce à une amélioration de la capacité de sa batterie. ;Eine etwas stärkere Version des Sentry-Gewehrs. Bleibt dank der erhöhten Batteriekapazität länger einsatzbereit. ;Una versión ligeramente más potente del cañón de la torreta automática. Permanece operativo durante más tiempo gracias al aumento de capacidad de la batería. ;Uma versão um pouco mais poderosa da Torreta. Permanece operacional por mais tempo graças ao aumento da capacidade de sua bateria. ;一款稍强力些的哨兵机关枪。提升了电池容量，可以使用更长时间。;セントリーガンの性能をわずかに高めたモデル。バッテリー容量が向上し、より長く使用できるようになっている。 ;조금 향상된 센트리 건입니다. 배터리를 개선하여 더 오랜 시간 작동합니다. 
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_scanner_turret_standard_item;Sentry Bioscanner – Standard;Wieżyczka Bioskanerowa – Standardowa;Башня-биосканер — Стандартно;Tourelle à bioscanner : niveau standard;Sentry-Bioscanner – Standard;Bioescáner centinela: estándar;Torreta Biológica – Padrão;哨兵生物扫描器 – 标准;セントリーバイオスキャナ - 標準;센트리 바이오 스캐너 – 기본
gui/menu/research/name/turrets_cluster_mods_scanner_turret_advanced_item;Sentry Bioscanner – Advanced;Wieżyczka Bioskanerowa – Zaawansowana;Башня-биосканер — Улучшено;Tourelle à bioscanner : niveau avancé;Sentry-Bioscanner – Fortgeschritten;Bioescáner centinela: avanzado;Torreta Biológica – Avançada;哨兵生物扫描器 – 中级;セントリーバイオスキャナ - 上級;센트리 바이오 스캐너 – 고급
gui/menu/research/name/turrets_cluster_mods_scanner_turret_superior_item;Sentry Bioscanner – Superior;Wieżyczka Bioskanerowa – Świetna;Башня-биосканер — Превосходно;Tourelle à bioscanner : niveau supérieur;Sentry-Bioscanner – Überlegen;Bioescáner centinela: superior;Torreta Biológica – Superior;哨兵生物扫描器 – 高级;セントリーバイオスキャナ - 特級;센트리 바이오 스캐너 – 탁월
gui/menu/research/name/turrets_cluster_mods_scanner_turret_extreme_item;Sentry Bioscanner – Extreme;Wieżyczka Bioskanerowa – Ekstremalna;Башня-биосканер — Экстремально;Tourelle à bioscanner : niveau extrême;Sentry-Bioscanner – Extrem;Bioescáner centinela: extremo;Torreta Biológica – Excepcional;哨兵生物扫描器 – 终极;セントリーバイオスキャナ - 究極;센트리 바이오 스캐너 – 극한
;;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_scanner_turret_standard_item;This miniature scanning station uses multiple highly specialized sensors to scan all interesting objects in its area of operation. All research results are uploaded directly to the Laboratory and fed to The Riftbreaker Database.;Ta miniaturowa stacja skanująca wykorzystuje wiele wysoce wyspecjalizowanych czujników do skanowania wszelkich interesujących obiektów w swoim obszarze działania. Wszystkie wyniki badań są przesyłane bezpośrednio do Laboratorium i wprowadzane do Bazy Danych.;Эта миниатюрная станция сканирования использует разнообразные высокоспециализированные датчики для сканирования всех объектов интереса в зоне своей работы. Все результаты исследований загружаются напрямую в лабораторию и поступают в базу данных рифтбрейкера.;Cette station de scan miniature utilise de nombreux capteurs très pointus pour scanner tous les objets intéressants de sa zone d'opérations. Tous les résultats de recherche sont envoyés directement au laboratoire et alimentent la base de données du riftbreaker.;Diese Miniatur-Scannerstation nutzt mehrere hochspezialisierte Sensoren, um alle interessanten Objekte in ihrem Wirkungsbereich zu scannen. Alle Forschungsergebnisse werden direkt ins Labor hochgeladen und in die Riftbreaker-Datenbank eingespeist.;Esta estación de escaneo en miniatura utiliza varios sensores altamente especializados para escanear todos los objetos interesantes en su zona de operaciones. Los resultados de la investigación se envían directamente al laboratorio y se introducen en la base de datos del Riftbreaker.;Esta estação de varredura em miniatura usa múltiplos sensores altamente especializados para escanear objetos interessantes em sua área de operação. Todos os resultados são enviados diretamente para o Laboratório e adicionados ao banco de dados do Salta Fendas.;这个微型扫描站使用多个高度专业化的传感器来扫描其操作区域内所有有趣的物体。所有的研究结果都直接上传到实验室，并反馈到破裂者数据库。;この小さなスキャンステーションは、高度に特殊化された複数のセンサーを使って、範囲内にある対象すべてをスキャンする。研究結果はすべて研究所に直接アップロードされ、リフトブレイカーのデータベースに保存される。;작전 구역의 모든 흥미로운 물체를 스캔하는 다수의 특수 센서를 가진 소형 스캐닝 스테이션입니다. 모든 스캔 결과는 곧바로 실험실로 업로드되어 리프트브레이커 데이터베이스에 전송됩니다.
gui/menu/research/description/turrets_cluster_mods_scanner_turret_advanced_item;More advanced sensors packed into this version of the Bioscanner Turret allow it to operate longer, scan interesting objects faster, and on a much bigger radius. This results in an increased amount of data fed into the Database.;Bardziej zaawansowane czujniki zastosowane w tej wersji wieżyczki Bioskanerowej pozwalają jej działać dłużej oraz szybciej skanować interesujące obiekty w znacznie większym promieniu. Skutkuje to zwiększoną ilością informacji przekazywanych do bazy danych.;Усовершенствованные датчики, установленные в этой версии башни-биосканера, позволяют ей работать дольше, сканировать интересующие объекты быстрее и на более далеких расстояниях, что увеличивает объем данных, поступающих в систему.;Les capteurs avancés que contient cette version de la tourelle à bioscanner lui permettent d'agir plus longtemps et de scanner les objets intéressants plus rapidement et dans un rayon bien plus large. Elle permet ainsi d'augmenter la quantité de données utilisées pour alimenter la base de données.;Diese Version des Bioscanner-Turms verfügt über fortschrittlichere Sensoren, die es ihm ermöglichen, länger im Betrieb zu bleiben, interessante Objekte schneller zu scannen und einen viel größeren Radius zu erfassen. Dies führt zu einer größeren Menge an Daten für die Datenbank.;Los sensores más avanzados de esta versión de la torreta del bioescáner le permiten funcionar durante más tiempo, escanear objetos interesantes con mayor rapidez y en un radio mucho más amplio. Esto se traduce en una mayor cantidad de datos para la base de datos.;Os sensores avançados embutidos nesta versão da Torreta Biológica permitem que ela opere por mais tempo, escaneie objetos mais rapidamente e tenha um raio de atuação bem maior. Isso resulta em uma quantidade de dados aumentada para o banco de dados.;这个版本的生物扫描塔配备了更先进的传感器，使其能够运行更长时间，更快地扫描有趣的物体，并在更大的半径范围内扫描，使得输入数据库的数据量增加。;センサーが高性能化したことで、稼働時間、スキャン速度、スキャン範囲が向上した。これにより、データベースにより多くのデータを送ることができる。;바이오 스캐너 터렛의 센서를 업그레이드하여 더 긴 가동 시간, 빠른 스캔 속도, 넓은 범위를 장착했습니다. 데이터베이스에 더 많은 데이터를 전송합니다.
gui/menu/research/description/turrets_cluster_mods_scanner_turret_superior_item;More advanced sensors packed into this version of the Bioscanner Turret allow it to operate longer, scan interesting objects faster, and on a much bigger radius. This results in an increased amount of data fed into the Database.;Bardziej zaawansowane czujniki zastosowane w tej wersji wieżyczki Bioskanerowej pozwalają jej działać dłużej oraz szybciej skanować interesujące obiekty w znacznie większym promieniu. Skutkuje to zwiększoną ilością informacji przekazywanych do bazy danych.;Усовершенствованные датчики, установленные в этой версии башни-биосканера, позволяют ей работать дольше, сканировать интересующие объекты быстрее и на более далеких расстояниях, что увеличивает объем данных, поступающих в систему.;Les capteurs avancés que contient cette version de la tourelle à bioscanner lui permettent d'agir plus longtemps et de scanner les objets intéressants plus rapidement et dans un rayon bien plus large. Elle permet ainsi d'augmenter la quantité de données utilisées pour alimenter la base de données.;Diese Version des Bioscanner-Turms verfügt über fortschrittlichere Sensoren, die es ihm ermöglichen, länger im Betrieb zu bleiben, interessante Objekte schneller zu scannen und einen viel größeren Radius zu erfassen. Dies führt zu einer größeren Menge an Daten für die Datenbank.;Los sensores más avanzados de esta versión de la torreta del bioescáner le permiten funcionar durante más tiempo, escanear objetos interesantes con mayor rapidez y en un radio mucho más amplio. Esto se traduce en una mayor cantidad de datos para la base de datos.;Os sensores avançados embutidos nesta versão da Torreta Biológica permitem que ela opere por mais tempo, escaneie objetos mais rapidamente e tenha um raio de ação bem maior. Isso resulta em uma quantidade de dados aumentada para o banco de dados.;装在这个版本的生物扫描仪转塔中的更先进的传感器，使其能够更长时间地运行，更快地扫描有趣的物体，并在更大的半径内进行扫描。这使得输入数据库的数据量增加。;センサーが高性能化したことで、稼働時間、スキャン速度、スキャン範囲が向上した。これにより、データベースにより多くのデータを送ることができる。;바이오 스캐너 터렛의 센서를 업그레이드하여 더 긴 가동 시간, 빠른 스캔 속도, 넓은 범위를 장착했습니다. 데이터베이스에 더 많은 데이터를 전송합니다.
gui/menu/research/description/turrets_cluster_mods_scanner_turret_extreme_item;More advanced sensors packed into this version of the Bioscanner Turret allow it to operate longer, scan interesting objects faster, and on a much bigger radius. This results in an increased amount of data fed into the Database.;Bardziej zaawansowane czujniki zastosowane w tej wersji wieżyczki Bioskanerowej pozwalają jej działać dłużej oraz szybciej skanować interesujące obiekty w znacznie większym promieniu. Skutkuje to zwiększoną ilością informacji przekazywanych do bazy danych.;Усовершенствованные датчики, установленные в этой версии башни-биосканера, позволяют ей работать дольше, сканировать интересующие объекты быстрее и на более далеких расстояниях, что увеличивает объем данных, поступающих в систему.;Les capteurs avancés que contient cette version de la tourelle à bioscanner lui permettent d'agir plus longtemps et de scanner les objets intéressants plus rapidement et dans un rayon bien plus large. Elle permet ainsi d'augmenter la quantité de données utilisées pour alimenter la base de données.;Diese Version des Bioscanner-Turms verfügt über fortschrittlichere Sensoren, die es ihm ermöglichen, länger im Betrieb zu bleiben, interessante Objekte schneller zu scannen und einen viel größeren Radius zu erfassen. Dies führt zu einer größeren Menge an Daten für die Datenbank.;Los sensores más avanzados de esta versión de la torreta del bioescáner le permiten funcionar durante más tiempo, escanear objetos interesantes con mayor rapidez y en un radio mucho más amplio. Esto se traduce en una mayor cantidad de datos para la base de datos.;Os sensores avançados embutidos nesta versão da Torreta Biológica permitem que ela opere por mais tempo, escaneie objetos mais rapidamente e tenha um raio de ação bem maior. Isso resulta em uma quantidade de dados aumentada para o banco de dados.;在这个版本的生物扫描塔中安装了更先进的传感器，使其能够运行更长时间，更快地扫描有趣的物体，并在更大的半径内进行扫描，使得输入数据库的数据量增加。;センサーが高性能化したことで、稼働時間、スキャン速度、スキャン範囲が向上した。これにより、データベースにより多くのデータを送ることができる。;바이오 스캐너 터렛의 센서를 업그레이드하여 더 긴 가동 시간, 빠른 스캔 속도, 넓은 범위를 장착했습니다. 데이터베이스에 더 많은 데이터를 전송합니다.
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_tesla_turret_standard_item;Lightning Sentry – Standard;Przenośna Wieżyczka - Standardowa;Электроразрядная турель — Стандартно;Sentinelle foudroyante – Niveau standard;Blitzwächter – Standard;Torreta eléctrica - Estándar;Torreta Elétrica – Padrão;闪电哨兵 – 标准;ライトニングセントリー - ベーシック;번개 센트리 – 기본
gui/menu/research/name/turrets_cluster_mods_tesla_turret_advanced_item;Lightning Sentry – Advanced;Przenośna Wieżyczka - Zaawansowana;Электроразрядная турель — Улучшено;Sentinelle foudroyante – Niveau avancé;Blitzwächter – Fortgeschritten;Torreta eléctrica - Avanzada;Torreta Elétrica – Avançada;闪电哨兵 – 中级;ライトニングセントリー – アドバンス;번개 센트리 - 고급
gui/menu/research/name/turrets_cluster_mods_tesla_turret_superior_item;Lightning Sentry – Superior;Przenośna Wieżyczka - Świetna;Электроразрядная турель — Превосходно;Sentinelle foudroyante – Niveau supérieur;Blitzwächter – Außergewöhnlich;Torreta eléctrica - Superior;Torreta Elétrica – Superior;闪电哨兵 – 高级;ライトニングセントリー - エピック;번개 센트리 – 탁월
gui/menu/research/name/turrets_cluster_mods_tesla_turret_extreme_item;Lightning Sentry – Extreme;Przenośna Wieżyczka - Ekstremalna;Электроразрядная турель — Экстремально;Sentinelle foudroyante – Niveau extrême;Blitzwächter – Profi;Torreta eléctrica - Extrema;Torreta Elétrica – Extrema;闪电哨兵 – 终极;ライトニングセントリー - レジェンド;번개 센트리 – 극한
;;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_tesla_turret_standard_item;This turret creates powerful electric arcs that bounce between enemies, resulting in a high amount of energy damage.;Ta wieżyczka wytwarza potężne łuki elektryczne, które odbijają się od przeciwników, zadając wysokie obrażenia energetyczne.;Эта турель создает мощную электрическую дугу, которая перемещается между врагами, нанося обширный энергетический урон;Cette tourelle crée un puissant arc électrique qui ricoche sur les ennemis, entraînant ainsi de puissants dégâts énergétiques.;Dieser Turm erzeugt kraftvolle Energiebögen, die zwischen Gegnern hin und her springen, was hohen Energieschaden verursacht.;Esta torreta crea potentes arcos eléctricos que rebotan entre los enemigos, lo que causa una gran cantidad de daño energético.;Esta torreta cria arcos voltaicos poderosos que atingem inimigos em cadeia, resultando em uma grande quantidade de dano energético.;这种炮塔能产生强大的电弧，在敌人之间弹跳，造成大量的能量伤害。;このタレットは敵同士の間で跳ね返る強力な電気アークを発生させ、大きなエネルギーダメージを与える。;적들 사이를 휘젓고 다니며 강력한 에너지 피해를 입히는 전류를 생성하는 터렛입니다.
gui/menu/research/description/turrets_cluster_mods_tesla_turret_advanced_item;A significantly more powerful version of the Lightning Sentry. A larger energy cell allows the Turret to deal higher damage to enemies in a larger radius.;Znacznie potężniejsza wersja Przenośnej Wieżyczki Piorunów. Dzięki większemu ogniwu energetycznemu wieżyczka może zadawać wyższe obrażenia przeciwnikom na szerszym obszarze.;Намного более мощная версия электроразрядной турели. Увеличенный энергетический элемент позволяет наносить башне больше урона в расширенном радиусе.;Une version bien plus puissante de la sentinelle foudroyante. Une plus grande batterie permet à la tourelle d'infliger des dégâts plus importants aux ennemis et dans un rayon plus large.;Eine deutlich leistungsgesteigerte Version des Blitzwächters. Die größere Energiezelle ermöglicht es dem Turm, Gegnern in einem größeren Radius mehr Schaden zuzufügen.;Una versión significativamente más potente de la torreta eléctrica. Una célula de energía más grande permite a la torreta infligir mayor daño a los enemigos en un radio más amplio.;Uma versão consideravelmente mais poderosa da Torreta Elétrica. Uma célula de energia maior permite à torreta causar mais dano em um raio maior.;一个强大得多的闪电哨兵塔版本。更大的能量电池使炮塔能够对更大范围内的敌人造成更高的伤害。;ライトニングセントリーを大幅に強化したもの。エネルギーセルを大きくすることで、攻撃の範囲とダメージが増加した。;번개 센트리의 업그레이드 버전. 더 커진 에너지 셀로 인해 더 넓은 범위에 더 높은 공격력을 자랑합니다.
gui/menu/research/description/turrets_cluster_mods_tesla_turret_superior_item;A significantly more powerful version of the Lightning Sentry. A larger energy cell allows the Turret to deal higher damage to enemies in a larger radius.;Znacznie potężniejsza wersja Przenośnej Wieżyczki Piorunów. Dzięki większemu ogniwu energetycznemu wieżyczka może zadawać wyższe obrażenia przeciwnikom na szerszym obszarze.;Намного более мощная версия электроразрядной турели. Увеличенный энергетический элемент позволяет наносить башне больше урона в расширенном радиусе.;Une version bien plus puissante de la sentinelle foudroyante. Une plus grande batterie permet à la tourelle d'infliger des dégâts plus importants aux ennemis et dans un rayon plus large.;Eine deutlich leistungsgesteigerte Version des Blitzwächters. Die größere Energiezelle ermöglicht es dem Turm, Gegnern in einem größeren Radius mehr Schaden zuzufügen.;Una versión significativamente más potente de la torreta eléctrica. Una célula de energía más grande permite a la torreta infligir mayor daño a los enemigos en un radio más amplio.;Uma versão consideravelmente mais poderosa da Torreta Elétrica. Uma célula de energia maior permite à torreta causar mais dano em um raio maior.;一个强大得多的闪电哨兵塔版本。更大的能量电池使炮塔能够对更大范围内的敌人造成更高的伤害。;ライトニングセントリーを大幅に強化したもの。エネルギーセルを大きくすることで、攻撃の範囲とダメージが増加した。;번개 센트리의 업그레이드 버전. 더 커진 에너지 셀로 인해 더 넓은 범위에 더 높은 공격력을 자랑합니다.
gui/menu/research/description/turrets_cluster_mods_tesla_turret_extreme_item;A significantly more powerful version of the Lightning Sentry. A larger energy cell allows the Turret to deal higher damage to enemies in a larger radius.;Znacznie potężniejsza wersja Przenośnej Wieżyczki Piorunów. Dzięki większemu ogniwu energetycznemu wieżyczka może zadawać wyższe obrażenia przeciwnikom na szerszym obszarze.;Намного более мощная версия электроразрядной турели. Увеличенный энергетический элемент позволяет наносить башне больше урона в расширенном радиусе.;Une version bien plus puissante de la sentinelle foudroyante. Une plus grande batterie permet à la tourelle d'infliger des dégâts plus importants aux ennemis et dans un rayon plus large.;Eine deutlich leistungsgesteigerte Version des Blitzwächters. Die größere Energiezelle ermöglicht es dem Turm, Gegnern in einem größeren Radius mehr Schaden zuzufügen.;Una versión significativamente más potente de la torreta eléctrica. Una célula de energía más grande permite a la torreta infligir mayor daño a los enemigos en un radio más amplio.;Uma versão consideravelmente mais poderosa da Torreta Elétrica. Uma célula de energia maior permite à torreta causar mais dano em um raio maior.;一个强大得多的闪电哨兵塔版本。更大的能量电池使炮塔能够对更大范围内的敌人造成更高的伤害。;ライトニングセントリーを大幅に強化したもの。エネルギーセルを大きくすることで、攻撃の範囲とダメージが増加した。;번개 센트리의 업그레이드 버전. 더 커진 에너지 셀로 인해 더 넓은 범위에 더 높은 공격력을 자랑합니다.
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_cryo_sentry_standard_item;Cryo Sentry – Standard;Wieżyczka Lodowa - Standardowa;Криогенная турель — Стандартно;Sentinelle cryogénique – Niveau standard;Kryo-Sentry – Standard;Torreta criogénica - Estándar;Torreta Criogênica – Padrão;低温哨兵 – 标准;凍結セントリー - ベーシック;극저온 센트리 – 기본
gui/menu/research/name/turrets_cluster_mods_cryo_sentry_advanced_item;Cryo Sentry – Advanced;Wieżyczka Lodowa - Zaawansowana;Криогенная турель — Улучшено;Sentinelle cryogénique – Niveau avancé;Kryo-Sentry – Fortgeschritten;Torreta criogénica - Avanzada;Torreta Criogênica – Avançada;低温哨兵 – 中级;凍結セントリー – アドバンス;극저온 센트리 - 고급
gui/menu/research/name/turrets_cluster_mods_cryo_sentry_superior_item;Cryo Sentry – Superior;Wieżyczka Lodowa - Świetna;Криогенная турель — Превосходно;Sentinelle cryogénique – Niveau supérieur;Kryo-Sentry – Außergewöhnlich;Torreta criogénica - Superior;Torreta Criogênica – Superior;低温哨兵 – 高级;凍結セントリー - エピック;극저온 센트리 – 탁월
